word;frequency;cobertura;word_order
be;0.0649;0.0649;1
I;0.0455;0.1104;2
the;0.0287;0.1391;3
it;0.0268;0.1658;4
do;0.0257;0.1916;5
a;0.0247;0.2163;6
and;0.0227;0.2389;7
you;0.0211;0.26;8
that;0.0207;0.2807;9
go;0.0184;0.2991;10
not;0.0182;0.3173;11
yeah;0.0161;0.3334;12
he;0.0155;0.3489;13
no;0.0150;0.3639;14
one;0.0146;0.3785;15
to;0.0137;0.3922;16
there;0.0134;0.4056;17
get;0.0127;0.4183;18
in;0.0125;0.4309;19
have;0.0112;0.442;20
this;0.0107;0.4527;21
my;0.0106;0.4633;22
they;0.0079;0.4712;23
yes;0.0066;0.4778;24
she;0.0062;0.484;25
know;0.0062;0.4902;26
on;0.0057;0.4959;27
all;0.0054;0.5013;28
up;0.0047;0.506;29
of;0.0046;0.5106;30
like;0.0045;0.5151;31
for;0.0045;0.5196;32
with;0.0040;0.5236;33
then;0.0037;0.5273;34
but;0.0035;0.5308;35
his;0.0031;0.5339;36
at;0.0025;0.5364;37
say;0.0025;0.5389;38
when;0.0023;0.5412;39
out;0.0021;0.5433;40
her;0.0019;0.5452;41
mum;0.0011;0.5463;42
home;0.0007;0.547;43
lose;0.0005;0.5476;44
dad;0.0004;0.548;45
policeman;0.0000;0.548;46
wa;0.0000;0.5481;47
