word;frequency;cobertura;word_order
be;0.0464;0.0464;1
there;0.0344;0.0808;2
no;0.0333;0.1141;3
it;0.0319;0.146;4
that;0.0315;0.1776;5
I;0.0296;0.2072;6
yeah;0.0278;0.2349;7
go;0.0260;0.261;8
a;0.0258;0.2868;9
the;0.0221;0.3089;10
one;0.0184;0.3273;11
on;0.0183;0.3456;12
in;0.0166;0.3622;13
get;0.0150;0.3773;14
do;0.0125;0.3897;15
this;0.0115;0.4012;16
not;0.0113;0.4125;17
and;0.0085;0.421;18
my;0.0082;0.4291;19
you;0.0077;0.4369;20
yes;0.0069;0.4438;21
to;0.0058;0.4496;22
out;0.0054;0.4549;23
he;0.0054;0.4604;24
have;0.0052;0.4656;25
up;0.0048;0.4704;26
like;0.0040;0.4744;27
Anna;0.0024;0.4768;28
all;0.0022;0.479;29
for;0.0016;0.4805;30
they;0.0016;0.4821;31
know;0.0015;0.4836;32
Mum;0.0012;0.4848;33
of;0.0010;0.4858;34
at;0.0009;0.4867;35
with;0.0009;0.4875;36
his;0.0009;0.4884;37
her;0.0008;0.4892;38
say;0.0007;0.4899;39
lose;0.0005;0.4904;40
she;0.0005;0.4908;41
home;0.0005;0.4913;42
then;0.0003;0.4916;43
Dad;0.0002;0.4918;44
policeman;0.0001;0.4919;45
when;0.0000;0.4919;46
but;0.0000;0.492;47
