word;frequency;cobertura;word_order
be;0.0464;0.0464;1
there;0.0344;0.0808;2
no;0.0333;0.1141;3
it;0.0319;0.146;4
that;0.0315;0.1776;5
I;0.0296;0.2072;6
go;0.0260;0.2332;7
the;0.0221;0.2553;8
oh;0.0205;0.2758;9
one;0.0184;0.2941;10
on;0.0183;0.3125;11
in;0.0166;0.3291;12
get;0.0150;0.3441;13
want;0.0126;0.3568;14
do;0.0125;0.3692;15
this;0.0115;0.3807;16
not;0.0113;0.392;17
and;0.0085;0.4005;18
my;0.0082;0.4086;19
you;0.0077;0.4164;20
me;0.0070;0.4234;21
yes;0.0069;0.4303;22
what;0.0066;0.4369;23
where;0.0064;0.4433;24
here;0.0062;0.4495;25
car;0.0061;0.4555;26
down;0.0060;0.4616;27
to;0.0058;0.4674;28
look;0.0057;0.473;29
put;0.0056;0.4786;30
out;0.0054;0.484;31
he;0.0054;0.4894;32
come;0.0052;0.4946;33
have;0.0052;0.4998;34
more;0.0049;0.5046;35
up;0.0048;0.5094;36
some;0.0041;0.5136;37
two;0.0041;0.5176;38
like;0.0040;0.5216;39
off;0.0039;0.5256;40
cannot;0.0038;0.5293;41
make;0.0035;0.5329;42
um;0.0035;0.5363;43
big;0.0034;0.5397;44
again;0.0033;0.543;45
another;0.0032;0.5462;46
sit;0.0032;0.5494;47
baby;0.0032;0.5526;48
back;0.0029;0.5555;49
huh;0.0026;0.5581;50
play;0.0024;0.5605;51
need;0.0023;0.5628;52
eat;0.0023;0.5651;53
all;0.0022;0.5673;54
away;0.0022;0.5695;55
man;0.0021;0.5716;56
blue;0.0021;0.5738;57
please;0.0021;0.5759;58
little;0.0021;0.5779;59
just;0.0020;0.5799;60
see;0.0020;0.5819;61
red;0.0020;0.5839;62
fall;0.0019;0.5858;63
mine;0.0019;0.5877;64
bite;0.0019;0.5896;65
find;0.0019;0.5915;66
over;0.0017;0.5933;67
toy;0.0017;0.595;68
for;0.0016;0.5966;69
green;0.0016;0.5982;70
Way;0.0016;0.5998;71
box;0.0016;0.6014;72
they;0.0016;0.6029;73
three;0.0016;0.6045;74
know;0.0015;0.6061;75
house;0.0015;0.6075;76
too;0.0015;0.6091;77
horse;0.0015;0.6105;78
these;0.0014;0.612;79
your;0.0014;0.6133;80
those;0.0014;0.6147;81
can;0.0013;0.616;82
other;0.0012;0.6172;83
drink;0.0012;0.6184;84
stop;0.0012;0.6195;85
we;0.0012;0.6207;86
fix;0.0012;0.6219;87
hello;0.0012;0.623;88
open;0.0012;0.6242;89
them;0.0011;0.6252;90
door;0.0011;0.6263;91
right;0.0010;0.6273;92
hot;0.0010;0.6283;93
of;0.0010;0.6293;94
