word;frequency;cobertura;word_order
be;0.0595;0.0595;1
I;0.0353;0.0948;2
yeah;0.0334;0.1282;3
the;0.0311;0.1593;4
it;0.0297;0.1889;5
that;0.0250;0.214;6
a;0.0226;0.2366;7
no;0.0209;0.2575;8
you;0.0197;0.2773;9
go;0.0181;0.2954;10
in;0.0154;0.3108;11
my;0.0092;0.32;12
want;0.0089;0.3289;13
what;0.0088;0.3377;14
on;0.0075;0.3452;15
here;0.0071;0.3524;16
yes;0.0047;0.3571;17
some;0.0046;0.3618;18
out;0.0041;0.3659;19
mine;0.0018;0.3677;20
off;0.0016;0.3693;21
more;0.0016;0.3709;22
help;0.0006;0.3716;23
finish;0.0004;0.372;24
