word;frequency;cobertura;word_order
be;0.0464;0.0464;1
there;0.0344;0.0808;2
no;0.0333;0.1141;3
it;0.0319;0.146;4
that;0.0315;0.1776;5
I;0.0296;0.2072;6
go;0.0260;0.2332;7
a;0.0258;0.259;8
the;0.0221;0.2811;9
oh;0.0205;0.3016;10
one;0.0184;0.3199;11
on;0.0183;0.3383;12
in;0.0166;0.3549;13
get;0.0150;0.3699;14
want;0.0126;0.3826;15
do;0.0125;0.395;16
this;0.0115;0.4065;17
not;0.0113;0.4178;18
and;0.0085;0.4263;19
my;0.0082;0.4344;20
you;0.0077;0.4422;21
me;0.0070;0.4492;22
yes;0.0069;0.4561;23
what;0.0066;0.4627;24
where;0.0064;0.4691;25
here;0.0062;0.4753;26
car;0.0061;0.4814;27
down;0.0060;0.4874;28
to;0.0058;0.4932;29
look;0.0057;0.4989;30
put;0.0056;0.5044;31
out;0.0054;0.5098;32
he;0.0054;0.5152;33
come;0.0052;0.5204;34
have;0.0052;0.5256;35
more;0.0049;0.5305;36
up;0.0048;0.5352;37
some;0.0041;0.5394;38
two;0.0041;0.5435;39
train;0.0040;0.5475;40
like;0.0040;0.5515;41
off;0.0039;0.5554;42
make;0.0035;0.559;43
big;0.0034;0.5623;44
again;0.0033;0.5656;45
another;0.0032;0.5688;46
now;0.0032;0.572;47
sit;0.0032;0.5752;48
baby;0.0032;0.5784;49
back;0.0029;0.5813;50
play;0.0024;0.5837;51
need;0.0023;0.586;52
eat;0.0023;0.5883;53
all;0.0022;0.5905;54
away;0.0022;0.5927;55
blue;0.0021;0.5949;56
please;0.0021;0.597;57
little;0.0021;0.599;58
just;0.0020;0.601;59
see;0.0020;0.603;60
red;0.0020;0.605;61
fall;0.0019;0.6069;62
mine;0.0019;0.6088;63
bite;0.0019;0.6107;64
find;0.0019;0.6126;65
cow;0.0018;0.6145;66
over;0.0017;0.6162;67
take;0.0017;0.6179;68
yellow;0.0016;0.6195;69
for;0.0016;0.6211;70
green;0.0016;0.6227;71
Way;0.0016;0.6243;72
they;0.0016;0.6258;73
three;0.0016;0.6275;74
orange;0.0016;0.6291;75
know;0.0015;0.6306;76
cat;0.0015;0.6321;77
house;0.0015;0.6336;78
too;0.0015;0.6351;79
these;0.0014;0.6365;80
your;0.0014;0.6379;81
those;0.0014;0.6393;82
egg;0.0014;0.6407;83
can;0.0013;0.642;84
other;0.0012;0.6432;85
hat;0.0012;0.6443;86
stop;0.0012;0.6455;87
we;0.0012;0.6467;88
open;0.0012;0.6478;89
them;0.0011;0.6489;90
door;0.0011;0.65;91
shoe;0.0011;0.651;92
right;0.0010;0.652;93
four;0.0010;0.653;94
of;0.0010;0.654;95
