word;list;POS;type
car;F;NN;OpenClass
eat;F;VB;OpenClass
hole;F;NN;OpenClass
hole;F;VB;OpenClass
keep;F;NN;OpenClass
keep;F;VB;OpenClass
nah;F;NN;OpenClass
naughty;F;JJ;OpenClass
right;F;NN;OpenClass
right;F;VB;OpenClass
right;F;JJ;OpenClass
right;F;RB;OpenClass
way;F;NN;OpenClass
way;F;RB;OpenClass
apple;F;NN;OpenClass
ball;F;NN;OpenClass
ball;F;VB;OpenClass
better;F;NN;OpenClass
better;F;VB;OpenClass
dig;F;NN;OpenClass
dig;F;VB;OpenClass
shhh;F;NN;OpenClass
take;F;NN;OpenClass
take;F;VB;OpenClass
yum;F;NN;OpenClass
cool;F;NN;OpenClass
cool;F;VB;OpenClass
cool;F;JJ;OpenClass
could;F;MD;ClosedClass
house;F;NN;OpenClass
house;F;VB;OpenClass
oow;F;NN;OpenClass
seat;F;NN;OpenClass
seat;F;VB;OpenClass
today;F;NN;OpenClass
today;F;RB;OpenClass
very;F;JJ;OpenClass
very;F;RB;OpenClass
wash;F;NN;OpenClass
wash;F;VB;OpenClass
around;F;IN;ClosedClass
bottom;F;NN;OpenClass
bottom;F;VB;OpenClass
bottom;F;JJ;OpenClass
boy;F;NN;OpenClass
into;F;IN;ClosedClass
next;F;JJ;OpenClass
next;F;RB;OpenClass
open;F;NN;OpenClass
open;F;VB;OpenClass
open;F;JJ;OpenClass
people;F;NN;OpenClass
people;F;VB;OpenClass
telling;F;NN;OpenClass
telling;F;JJ;OpenClass
bin;F;NN;OpenClass
bin;F;VB;OpenClass
book;F;NN;OpenClass
book;F;VB;OpenClass
else;F;RB;OpenClass
find;F;NN;OpenClass
green;F;NN;OpenClass
green;F;VB;OpenClass
green;F;JJ;OpenClass
home;F;NN;OpenClass
home;F;VB;OpenClass
home;F;JJ;OpenClass
home;F;RB;OpenClass
lunch;F;NN;OpenClass
lunch;F;VB;OpenClass
new;F;JJ;OpenClass
new;F;RB;OpenClass
pick;F;NN;OpenClass
pick;F;VB;OpenClass
playing;F;NN;OpenClass
roll;F;NN;OpenClass
roll;F;VB;OpenClass
seven;F;CD;ClosedClass
sorry;F;JJ;OpenClass
step;F;NN;OpenClass
step;F;VB;OpenClass
still;F;NN;OpenClass
still;F;VB;OpenClass
still;F;JJ;OpenClass
still;F;RB;OpenClass
teacher;F;NN;OpenClass
three;F;CD;ClosedClass
us;F;PRP;ClosedClass
about;F;IN;ClosedClass
break;F;VB;OpenClass
broke;F;JJ;OpenClass
bye;F;NN;OpenClass
catch;F;NN;OpenClass
catch;F;VB;OpenClass
fell;F;NN;OpenClass
fell;F;VB;OpenClass
fell;F;JJ;OpenClass
first;F;NN;OpenClass
first;F;JJ;OpenClass
first;F;RB;OpenClass
man;F;NN;OpenClass
man;F;VB;OpenClass
shoe;F;NN;OpenClass
shoe;F;VB;OpenClass
stick;F;VB;OpenClass
stuck;F;JJ;OpenClass
think;F;NN;OpenClass
think;F;VB;OpenClass
as;F;IN;ClosedClass
beautiful;F;JJ;OpenClass
bring;F;VB;OpenClass
bum;F;NN;OpenClass
bum;F;VB;OpenClass
bum;F;JJ;OpenClass
everybody;F;NN;OpenClass
finish;F;VB;OpenClass
finished;F;JJ;OpenClass
funny;F;NN;OpenClass
funny;F;JJ;OpenClass
guy;F;NN;OpenClass
guy;F;VB;OpenClass
hand;F;NN;OpenClass
hand;F;VB;OpenClass
head;F;NN;OpenClass
head;F;VB;OpenClass
high;F;JJ;OpenClass
jump;F;NN;OpenClass
jump;F;VB;OpenClass
should;F;MD;ClosedClass
stop;F;NN;OpenClass
stop;F;VB;OpenClass
which;F;WDT;ClosedClass
