word;list;POS;type
hit;I;NN;OpenClass
hit;I;VB;OpenClass
hundred;I;NN;OpenClass
hundred;I;JJ;OpenClass
kitchen;I;NN;OpenClass
nice;I;NN;OpenClass
nice;I;JJ;OpenClass
hate;I;NN;OpenClass
hate;I;VB;OpenClass
long;I;VB;OpenClass
long;I;JJ;OpenClass
long;I;RB;OpenClass
square;I;NN;OpenClass
square;I;VB;OpenClass
square;I;JJ;OpenClass
square;I;RB;OpenClass
any;I;DT;ClosedClass
anything;I;NN;OpenClass
same;I;NN;OpenClass
same;I;JJ;OpenClass
yours;I;NNS;OpenClass
always;I;RB;OpenClass
guess;I;NN;OpenClass
guess;I;VB;OpenClass
maybe;I;RB;OpenClass
most;I;JJ;OpenClass
most;I;RB;OpenClass
than;I;IN;ClosedClass
after;I;IN;ClosedClass
someone;I;NN;OpenClass
weird;I;NN;OpenClass
weird;I;JJ;OpenClass
jacket;I;NN;OpenClass
jacket;I;VB;OpenClass
leave;I;NN;OpenClass
leave;I;VB;OpenClass
side;I;NN;OpenClass
side;I;VB;OpenClass
side;I;JJ;OpenClass
press;I;NN;OpenClass
press;I;VB;OpenClass
small;I;NN;OpenClass
small;I;JJ;OpenClass
small;I;RB;OpenClass
trapezoid;I;NN;OpenClass
um;I;NN;OpenClass
ah;I;NN;OpenClass
clock;I;NN;OpenClass
clock;I;VB;OpenClass
dumb;I;JJ;OpenClass
ever;I;RB;OpenClass
hexagon;I;NN;OpenClass
many;I;JJ;OpenClass
real;I;NN;OpenClass
real;I;JJ;OpenClass
real;I;RB;OpenClass
serve;I;NN;OpenClass
serve;I;VB;OpenClass
taste;I;NN;OpenClass
taste;I;VB;OpenClass
bring;I;VB;OpenClass
love;I;NN;OpenClass
love;I;VB;OpenClass
remember;I;VB;OpenClass
write;I;VB;OpenClass
boy;I;NN;OpenClass
rectangle;I;NN;OpenClass
game;I;NN;OpenClass
game;I;VB;OpenClass
game;I;JJ;OpenClass
grade;I;NN;OpenClass
grade;I;VB;OpenClass
nothing;I;NN;OpenClass
nothing;I;RB;OpenClass
zookeeper;I;NN;OpenClass
old;I;NN;OpenClass
old;I;JJ;OpenClass
somebody;I;NN;OpenClass
their;I;PRP$;ClosedClass
away;I;JJ;OpenClass
away;I;RB;OpenClass
catch;I;NN;OpenClass
catch;I;VB;OpenClass
cut;I;NN;OpenClass
cut;I;VB;OpenClass
cut;I;JJ;OpenClass
water;I;NN;OpenClass
water;I;VB;OpenClass
whatever;I;WDT;ClosedClass
bell;I;NN;OpenClass
bell;I;VB;OpenClass
blood;I;NN;OpenClass
blood;I;VB;OpenClass
bye;I;NN;OpenClass
Chinese;I;JJ;OpenClass
frog;I;NN;OpenClass
frog;I;VB;OpenClass
half;I;NN;OpenClass
half;I;JJ;OpenClass
half;I;RB;OpenClass
Mrs;I;NN;OpenClass
narrow;I;NN;OpenClass
narrow;I;VB;OpenClass
narrow;I;JJ;OpenClass
red;I;NN;OpenClass
red;I;JJ;OpenClass
smash;I;NN;OpenClass
smash;I;VB;OpenClass
smash;I;RB;OpenClass
wear;I;NN;OpenClass
wear;I;VB;OpenClass
wow;I;NN;OpenClass
wow;I;VB;OpenClass
wrong;I;NN;OpenClass
wrong;I;VB;OpenClass
wrong;I;JJ;OpenClass
wrong;I;RB;OpenClass
pick;I;NN;OpenClass
pick;I;VB;OpenClass
rotten;I;JJ;OpenClass
another;I;DT;ClosedClass
table;I;NN;OpenClass
table;I;VB;OpenClass
dad;I;NN;OpenClass
easy;I;JJ;OpenClass
easy;I;RB;OpenClass
everything;I;NN;OpenClass
sun;I;NN;OpenClass
sun;I;VB;OpenClass
by;I;IN;ClosedClass
happen;I;VB;OpenClass
movie;I;NN;OpenClass
parallelogram;I;NN;OpenClass
suppose;I;VB;OpenClass
around;I;IN;ClosedClass
number;I;NN;OpenClass
number;I;VB;OpenClass
push;I;NN;OpenClass
push;I;VB;OpenClass
bagel;I;NN;OpenClass
break;I;NN;OpenClass
break;I;VB;OpenClass
close;I;NN;OpenClass
close;I;VB;OpenClass
close;I;JJ;OpenClass
close;I;RB;OpenClass
face;I;NN;OpenClass
face;I;VB;OpenClass
finish;I;NN;OpenClass
finish;I;VB;OpenClass
meat;I;NN;OpenClass
sauce;I;NN;OpenClass
sauce;I;VB;OpenClass
sixty;I;NN;OpenClass
sixty;I;JJ;OpenClass
turn;I;NN;OpenClass
turn;I;VB;OpenClass
chip;I;NN;OpenClass
chip;I;VB;OpenClass
cold;I;NN;OpenClass
cold;I;JJ;OpenClass
cry;I;NN;OpenClass
cry;I;VB;OpenClass
drama;I;NN;OpenClass
eleven;I;NN;OpenClass
eleven;I;JJ;OpenClass
else;I;RB;OpenClass
sing;I;VB;OpenClass
almost;I;RB;OpenClass
bear;I;NN;OpenClass
bear;I;VB;OpenClass
jingle;I;NN;OpenClass
jingle;I;VB;OpenClass
ready;I;NN;OpenClass
ready;I;VB;OpenClass
ready;I;JJ;OpenClass
happy;I;JJ;OpenClass
morning;I;NN;OpenClass
recording;I;NN;OpenClass
song;I;NN;OpenClass
throw;I;NN;OpenClass
throw;I;VB;OpenClass
which;I;WDT;ClosedClass
level;I;NN;OpenClass
level;I;VB;OpenClass
level;I;JJ;OpenClass
point;I;NN;OpenClass
point;I;VB;OpenClass
shape;I;NN;OpenClass
shape;I;VB;OpenClass
everyone;I;NN;OpenClass
eye;I;NN;OpenClass
eye;I;VB;OpenClass
fast;I;NN;OpenClass
fast;I;VB;OpenClass
fast;I;JJ;OpenClass
fast;I;RB;OpenClass
father;I;NN;OpenClass
father;I;VB;OpenClass
fifteen;I;NN;OpenClass
fifteen;I;JJ;OpenClass
Germany;I;NNP;OpenClass
gum;I;NN;OpenClass
gum;I;VB;OpenClass
heck;I;NN;OpenClass
kick;I;NN;OpenClass
kick;I;VB;OpenClass
laugh;I;NN;OpenClass
laugh;I;VB;OpenClass
listen;I;VB;OpenClass
mess;I;NN;OpenClass
mess;I;VB;OpenClass
outside;I;IN;ClosedClass
punch;I;NN;OpenClass
punch;I;VB;OpenClass
whole;I;NN;OpenClass
whole;I;JJ;OpenClass
whole;I;RB;OpenClass
die;I;NN;OpenClass
die;I;VB;OpenClass
fall;I;NN;OpenClass
fall;I;VB;OpenClass
fine;I;NN;OpenClass
fine;I;VB;OpenClass
fine;I;JJ;OpenClass
fine;I;RB;OpenClass
glue;I;NN;OpenClass
glue;I;VB;OpenClass
sister;I;NN;OpenClass
thirteen;I;NN;OpenClass
thirteen;I;JJ;OpenClass
apple;I;NN;OpenClass
as;I;NN;OpenClass
basketball;I;NN;OpenClass
beat;I;NN;OpenClass
beat;I;VB;OpenClass
beat;I;JJ;OpenClass
bing;I;NN;OpenClass
cheese;I;NN;OpenClass
cheese;I;VB;OpenClass
English;I;JJ;OpenClass
flat;I;NN;OpenClass
flat;I;JJ;OpenClass
flat;I;RB;OpenClass
fuck;I;NN;OpenClass
fuck;I;VB;OpenClass
homework;I;NN;OpenClass
paper;I;NN;OpenClass
paper;I;VB;OpenClass
rock;I;NN;OpenClass
rock;I;VB;OpenClass
teacher;I;NN;OpenClass
Thai;I;NN;OpenClass
yesterday;I;NN;OpenClass
yesterday;I;RB;OpenClass
