word;quantity;frequency
baker;1;0.0
Donna;2;0.0001
Darren;3;0.0001
guy;3;0.0001
last;6;0.0002
time;37;0.0009
Konka;1;0.0
d;5;0.0001
grass;8;0.0002
work;24;0.0006
strip;1;0.0
ummm;1;0.0
lock;5;0.0001
bedtime;2;0.0001
others;2;0.0001
bath;39;0.001
about;24;0.0006
oh_no;19;0.0005
poorly;12;0.0003
s;11;0.0003
k;4;0.0001
star;1;0.0
runnin;2;0.0001
run;20;0.0005
donkey;6;0.0002
pig;33;0.0008
please;15;0.0004
engine;23;0.0006
reach;2;0.0001
again;29;0.0007
walk;13;0.0003
song;9;0.0002
tractor;14;0.0004
part;3;0.0001
other;49;0.0012
round;62;0.0016
corner;2;0.0001
wrong;9;0.0002
water;34;0.0009
m;5;0.0001
ha;2;0.0001
sing;6;0.0002
jack;4;0.0001
Jill;2;0.0001
hill;2;0.0001
boom;1;0.0
bog;1;0.0
show;12;0.0003
charger;1;0.0
ye;1;0.0
tall;2;0.0001
fast;6;0.0002
than;5;0.0001
own;5;0.0001
floor;13;0.0003
how;43;0.0011
crash;15;0.0004
land;11;0.0003
Englandton;1;0.0
plant;2;0.0001
nope;2;0.0001
by;10;0.0003
j;1;0.0
w;6;0.0002
so;84;0.0021
next;15;0.0004
toy;24;0.0006
plank;3;0.0001
butterfly;1;0.0
after;9;0.0002
roof;8;0.0002
think;91;0.0023
might;8;0.0002
farther;1;0.0
rabbi;1;0.0
try;13;0.0003
hi;4;0.0001
ranger;3;0.0001
power;2;0.0001
force;1;0.0
lighter;7;0.0002
mean;6;0.0002
inside;14;0.0004
dark;1;0.0
knickers;3;0.0001
those;38;0.001
pull;24;0.0006
clothe;5;0.0001
helmet;1;0.0
night_night;1;0.0
curtain;1;0.0
sweet;7;0.0002
dream;1;0.0
badger;6;0.0002
squirrel;39;0.001
teddy;18;0.0005
could;24;0.0006
middle;3;0.0001
day;10;0.0003
Polly;11;0.0003
call;35;0.0009
Suki;14;0.0004
kettle;3;0.0001
Jaja;2;0.0001
long;11;0.0003
hair;7;0.0002
should;7;0.0002
asleep;3;0.0001
carry;6;0.0002
erm;215;0.0054
Adja;1;0.0
as_well;14;0.0004
Adjalass;2;0.0001
bunch;1;0.0
phew;1;0.0
ribena;1;0.0
first;15;0.0004
poor;9;0.0002
set;3;0.0001
plaster;5;0.0001
carrot;11;0.0003
stethoscope;1;0.0
glass;29;0.0007
hungry;11;0.0003
very;23;0.0006
burn;5;0.0001
yourself;3;0.0001
coleslaw;1;0.0
stuff;2;0.0001
Nanny;30;0.0008
something;40;0.001
into;19;0.0005
guard;1;0.0
today;14;0.0004
toad;2;0.0001
sieve;4;0.0001
onto;2;0.0001
cut;35;0.0009
piece;5;0.0001
knife;21;0.0005
sandwich;11;0.0003
yum;79;0.002
tip;14;0.0004
box;21;0.0005
sharpen;1;0.0
fine;5;0.0001
finish;14;0.0004
aeroplane;26;0.0007
university;1;0.0
pat;1;0.0
choose;3;0.0001
bread;15;0.0004
pudding;7;0.0002
lot;26;0.0007
vanilla;5;0.0001
else;46;0.0012
tortoise;7;0.0002
cool;3;0.0001
leave;15;0.0004
because;31;0.0008
cone;2;0.0001
oops;6;0.0002
wipe;1;0.0
dessert;2;0.0001
lucky;1;0.0
which;13;0.0003
tart;3;0.0001
flavor;2;0.0001
nice;17;0.0004
mind;3;0.0001
mouth;5;0.0001
lunch;11;0.0003
end;3;0.0001
autumn;4;0.0001
three;58;0.0015
doll;14;0.0004
mirror;27;0.0007
wall;2;0.0001
who;31;0.0008
clean;13;0.0003
party;24;0.0006
Angel;7;0.0002
Delight;2;0.0001
Granny;3;0.0001
Grandad;5;0.0001
icy;3;0.0001
white;12;0.0003
gong;1;0.0
prin;1;0.0
princess;4;0.0001
people;23;0.0006
real;6;0.0002
pasta;4;0.0001
feed;1;0.0
teaparty;3;0.0001
teapot;35;0.0009
himself;3;0.0001
granddad;2;0.0001
tell;17;0.0004
story;2;0.0001
nasty;2;0.0001
dragon;2;0.0001
somebody;20;0.0005
probably;2;0.0001
book;1;0.0
la;54;0.0014
rid;4;0.0001
piggie;11;0.0003
ride;15;0.0004
merry;8;0.0002
step;17;0.0004
when;29;0.0007
voice;1;0.0
front;8;0.0002
behind;6;0.0002
giddy;11;0.0003
cow;60;0.0015
bum;3;0.0001
red;13;0.0003
shell;1;0.0
queue;2;0.0001
both;9;0.0002
steer;2;0.0001
park;25;0.0006
moo;11;0.0003
driver;1;0.0
seat;7;0.0002
wheel;18;0.0005
sort;3;0.0001
passenger;5;0.0001
tiny;3;0.0001
their;21;0.0005
our;24;0.0006
baby;38;0.001
swing;5;0.0001
stand;12;0.0003
whoop;3;0.0001
cafe;3;0.0001
ouch;1;0.0
face;6;0.0002
as;2;0.0001
ours;5;0.0001
grandma;6;0.0002
but;104;0.0026
old;7;0.0002
actually;10;0.0003
Goldilocks;4;0.0001
nut;21;0.0005
fish;11;0.0003
lemon;14;0.0004
bear;22;0.0006
heat;2;0.0001
child;9;0.0002
pretend;35;0.0009
yuck;3;0.0001
yucky;2;0.0001
everything;11;0.0003
ambulance;16;0.0004
talk;5;0.0001
home;32;0.0008
magnify;11;0.0003
bacon;8;0.0002
sausage;32;0.0008
biscuit;5;0.0001
onion;6;0.0002
banana;10;0.0003
tomato;14;0.0004
butter;2;0.0001
neigh;2;0.0001
field;10;0.0003
lick;12;0.0003
air;5;0.0001
each;1;0.0
watch;11;0.0003
teahouse;1;0.0
much;6;0.0002
pea;18;0.0005
er;42;0.0011
reckon;1;0.0
burger;3;0.0001
vinegar;1;0.0
mustard;1;0.0
frog;3;0.0001
super;1;0.0
baboon;3;0.0001
dead;1;0.0
croissant;7;0.0002
pastry;2;0.0001
broccoli;10;0.0003
hide;16;0.0004
monster;4;0.0001
shut;17;0.0004
hop;7;0.0002
sick;4;0.0001
along;1;0.0
why;79;0.002
treehouse;8;0.0002
climb;6;0.0002
chin;1;0.0
meow;11;0.0003
special;3;0.0001
tent;8;0.0002
Superman;1;0.0
Batman;1;0.0
Spiderman;1;0.0
snooker;2;0.0001
football;2;0.0001
pitch;1;0.0
line;4;0.0001
hers;4;0.0001
share;10;0.0003
dunno;4;0.0001
basket;4;0.0001
dish;2;0.0001
mouse;1;0.0
garden;5;0.0001
through;16;0.0004
wild;1;0.0
foot;2;0.0001
really;12;0.0003
trot;14;0.0004
trotter;3;0.0001
Cornwall;1;0.0
jet;1;0.0
zoom;1;0.0
pizza;21;0.0005
before;1;0.0
noise;7;0.0002
cockle;1;0.0
France;1;0.0
even;4;0.0001
better;6;0.0002
d_v_d;1;0.0
hold;26;0.0007
tight;1;0.0
wobble;6;0.0002
bang;2;0.0001
boing;2;0.0001
plug;1;0.0
catty;1;0.0
indoors;2;0.0001
morning;3;0.0001
store;1;0.0
moment;4;0.0001
twinkle;2;0.0001
freezer;1;0.0
fishies;2;0.0001
shower;5;0.0001
cause;11;0.0003
if;22;0.0006
lift;6;0.0002
