word;relative_frequency;corpus_commonality
cheese;223.2000;40
carrot;109.0000;45
Jack;29.1667;54
last;104.0000;36
slide;177.5000;54
afternoon;16.2500;36
ice;400.8333;54
bite;1048.4571;35
clean;164.8333;48
nappie;50.0000;45
cornflakes;55.0000;27
nearly;93.3333;54
never;97.8286;35
cut;265.0000;36
wake;157.5000;54
cook;148.5000;48
first;142.2778;18
drop;219.0000;45
none;34.0000;45
him;824.2500;28
stop;550.3750;24
mend;127.0000;45
little;1073.9444;18
wash;285.0000;30
yet;218.2143;42
tick;73.7500;36
fancy;7.5000;36
downstairs;108.3333;54
fit;625.0000;54
push;292.5000;36
Anne;905.0000;27
choo;805.0000;54
tip;180.8333;54
sweep;25.0000;36
mess;95.4000;40
yeah;9561.0857;35
baa;112.0000;45
spade;43.3333;27
strawberry;212.5000;54
tummy;141.0000;45
teeth;65.8333;54
else;142.4000;30
stick;565.1020;49
peekaboo;236.6667;27
juice;288.5143;35
reach;75.0000;45
mhm;3333.3333;54
who;438.7500;28
Ellie;53.3333;27
Alistair;25.0000;18
Davey;5.0000;9
lid;247.0000;45
open;558.0000;28
pussy;51.0000;45
cat;743.1111;36
shirt;44.1000;40
pant;113.4000;40
head;386.6667;36
trouser;135.0000;54
quickly;15.0000;45
clothe;186.6667;54
these;960.0000;28
sit;1349.2500;24
Jill;17.5000;36
James;356.2500;36
whose;24.0000;45
cover;190.0000;36
ta;46.2500;36
whoop;420.1458;48
miss;123.3333;42
um;1474.5714;42
lose;197.4762;42
tissue;60.0000;45
bin;104.0000;48
tower;413.0000;45
step;115.3750;48
fishy;33.7500;36
ah;115.1429;42
Grandad;41.0000;45
Grandma;176.4000;40
whoops_a_daisy;93.3333;27
next;101.8286;35
sky;102.5000;54
toy;662.2857;49
late;196.6667;54
take;864.1667;24
hooray;80.0000;27
Humpty;28.3333;27
t;100.8333;54
move;268.0000;30
Humpty_Dumpty;63.3333;27
Dumpty;26.6667;27
help;364.4444;18
okay;572.5000;30
comfy;8.3333;27
swing;68.3333;48
clever;38.7500;36
funny;145.0000;42
wee;702.8571;63
toilet;70.8333;54
happy;127.2857;42
sleepy;34.0000;45
hiya;109.0000;45
paddle;17.5000;36
pool;55.5000;48
face;126.4762;42
Pooh_Bear;131.6667;27
poly;5.0000;18
tiger;427.5000;54
whoopsie;25.0000;27
fishie;61.2500;36
whale;186.2500;36
yummy;61.4250;40
giraffe;230.0000;54
uhoh;363.7500;36
penguin;198.3333;54
hippo;246.6667;27
soup;116.0000;45
