word;commonality;cobertura;word_order
of;8;0.005;1
no;8;0.011;2
ball;6;0.042;3
water;5;0.058;4
book;5;0.068;5
tell;5;0.074;6
car;5;0.095;7
down;5;0.1;8
baby;5;0.137;9
boy;4;0.174;10
girl;4;0.179;11
man;3;0.184;12
shoe;3;0.2;13
table;3;0.205;14
chair;3;0.247;15
door;3;0.268;16
bird;2;0.274;17
egg;2;0.279;18
sock;2;0.284;19
hat;2;0.289;20
apple;2;0.321;21
bed;2;0.326;22
eye;2;0.332;23
milk;2;0.337;24
fish;2;0.342;25
rabbit;1;0.347;26
pen;1;0.353;27
bath;1;0.358;28
light;1;0.368;29
cake;1;0.4;30
cow;1;0.411;31
cup;1;0.421;32
duck;1;0.437;33
horse;1;0.442;34
tree;1;0.447;35
sun;1;0.463;36
paper;1;0.505;37
