word;commonality;cobertura;word_order
the;9;0.016;1
in;9;0.035;2
on;9;0.042;3
that;9;0.066;4
go;9;0.091;5
I;9;0.122;6
be;9;0.195;7
it;9;0.219;8
you;9;0.263;9
my;9;0.269;10
out;9;0.275;11
and;8;0.299;12
but;8;0.301;13
one;8;0.308;14
a;8;0.335;15
all;8;0.341;16
this;8;0.344;17
some;8;0.349;18
there;8;0.364;19
like;8;0.371;20
with;8;0.372;21
of;8;0.378;22
at;8;0.379;23
for;8;0.386;24
want;8;0.387;25
get;8;0.4;26
they;8;0.417;27
then;8;0.425;28
not;8;0.452;29
up;8;0.455;30
to;8;0.458;31
do;8;0.503;32
have;8;0.513;33
know;8;0.528;34
when;8;0.529;35
no;8;0.545;36
yes;8;0.551;37
big;7;0.568;38
will;7;0.572;39
can;7;0.575;40
eat;7;0.582;41
we;7;0.588;42
me;7;0.594;43
he;7;0.602;44
them;7;0.614;45
come;7;0.619;46
say;7;0.621;47
put;7;0.626;48
play;7;0.628;49
what;7;0.658;50
house;6;0.659;51
back;6;0.662;52
give;6;0.663;53
thing;6;0.665;54
how;6;0.671;55
your;6;0.672;56
just;6;0.674;57
more;6;0.677;58
dog;5;0.68;59
very;5;0.681;60
think;5;0.682;61
now;5;0.686;62
tell;5;0.688;63
look;5;0.691;64
down;5;0.692;65
where;5;0.699;66
him;5;0.702;67
away;5;0.703;68
these;5;0.707;69
baby;5;0.708;70
who;5;0.711;71
why;5;0.716;72
other;5;0.717;73
right;5;0.718;74
open;5;0.719;75
outside;4;0.721;76
next;4;0.724;77
day;4;0.726;78
or;4;0.727;79
well;4;0.738;80
yeah;4;0.751;81
oh;4;0.752;82
bite;4;0.753;83
juice;4;0.754;84
hi;4;0.755;85
nice;3;0.756;86
from;3;0.758;87
um;3;0.769;88
ah;3;0.773;89
only;3;0.777;90
pick;3;0.778;91
bad;3;0.781;92
red;3;0.782;93
try;3;0.783;94
any;3;0.785;95
favorite;2;0.786;96
buy;2;0.788;97
would;2;0.793;98
cannot;2;0.794;99
Mum;2;0.796;100
sorry;2;0.798;101
break;2;0.799;102
stick;2;0.8;103
bring;2;0.804;104
toy;2;0.806;105
milk;2;0.808;106
blue;2;0.809;107
thank;2;0.811;108
huh;2;0.813;109
mean;2;0.816;110
hold;2;0.818;111
Aunt;1;0.819;112
picture;1;0.82;113
sea;1;0.821;114
Mummy;1;0.839;115
nah;1;0.841;116
fell;1;0.842;117
should;1;0.843;118
hurt;1;0.844;119
white;1;0.845;120
yellow;1;0.846;121
fly;1;0.848;122
cause;1;0.851;123
both;1;0.852;124
sign;1;0.853;125
feel;1;0.855;126
hard;1;0.856;127
wow;1;0.858;128
