word;commonality;cobertura;word_order
the;9;0.029;1
in;9;0.041;2
on;9;0.047;3
that;9;0.068;4
go;9;0.086;5
I;9;0.132;6
be;9;0.196;7
it;9;0.223;8
you;9;0.244;9
my;9;0.255;10
out;9;0.257;11
and;8;0.28;12
but;8;0.283;13
one;8;0.298;14
a;8;0.322;15
all;8;0.328;16
this;8;0.338;17
some;8;0.34;18
there;8;0.353;19
like;8;0.358;20
with;8;0.362;21
of;8;0.367;22
at;8;0.369;23
for;8;0.374;24
want;8;0.389;25
home;8;0.39;26
get;8;0.402;27
they;8;0.41;28
she;8;0.416;29
her;8;0.418;30
his;8;0.422;31
then;8;0.425;32
not;8;0.443;33
up;8;0.448;34
to;8;0.462;35
do;8;0.487;36
have;8;0.499;37
know;8;0.505;38
when;8;0.507;39
no;8;0.522;40
yes;8;0.529;41
because;7;0.53;42
over;7;0.531;43
good;7;0.532;44
big;7;0.537;45
will;7;0.544;46
can;7;0.548;47
eat;7;0.55;48
today;7;0.551;49
dad;7;0.551;50
time;7;0.553;51
see;7;0.558;52
we;7;0.564;53
me;7;0.569;54
he;7;0.584;55
them;7;0.591;56
our;7;0.591;57
so;7;0.593;58
too;7;0.595;59
wa;7;0.595;60
come;7;0.6;61
say;7;0.603;62
put;7;0.606;63
play;7;0.61;64
make;7;0.612;65
what;7;0.625;66
here;7;0.63;67
two;6;0.634;68
if;6;0.635;69
little;6;0.635;70
ball;6;0.635;71
first;6;0.635;72
house;6;0.637;73
people;6;0.637;74
back;6;0.639;75
give;6;0.641;76
ha;6;0.641;77
thing;6;0.643;78
how;6;0.645;79
your;6;0.647;80
something;6;0.648;81
watch;6;0.649;82
just;6;0.653;83
off;6;0.655;84
mine;6;0.656;85
more;6;0.657;86
help;6;0.657;87
new;5;0.658;88
friend;5;0.659;89
lot;5;0.659;90
water;5;0.659;91
book;5;0.66;92
dog;5;0.66;93
very;5;0.661;94
take;5;0.662;95
about;5;0.663;96
by;5;0.664;97
think;5;0.665;98
now;5;0.669;99
name;5;0.67;100
could;5;0.671;101
tell;5;0.672;102
find;5;0.673;103
car;5;0.674;104
look;5;0.679;105
let;5;0.68;106
down;5;0.682;107
where;5;0.687;108
need;5;0.689;109
him;5;0.693;110
turn;5;0.694;111
away;5;0.695;112
sit;5;0.696;113
these;5;0.698;114
baby;5;0.699;115
who;5;0.7;116
why;5;0.702;117
