word;relative_frequency;corpus_commonality
squeaky;2.6667;3
squeaksqueak;1.0000;1
Caroline;240.2500;4
pretend;26.1667;6
pinch;12.2500;4
fat;5.8333;6
bang;68.0000;7
muddle;1.0000;2
parrot;11.6667;3
snake;47.0000;4
tail;27.0000;6
horsie;56.5000;6
Carl;82.0000;3
Ryan;1.0000;2
nursery;11.6667;6
asleep;24.1667;6
dance;13.6000;5
settee;4.5000;6
set;9.8000;5
pajama;15.8333;6
bridge;134.1667;6
crash;118.8333;6
mieow;23.6667;3
wing;6.6000;5
atechoo;2.0000;2
pull;65.1667;6
hmm;45.6667;3
smarties;6.5000;4
pan;13.3333;6
spill;10.2500;4
Paddington;5.0000;2
cart;2.0000;3
ow;49.1667;6
coke;4.0000;6
shoulder;14.6667;3
quackquack;1.3333;3
Duplo;19.7500;4
shark;11.1667;6
space;8.0000;6
cob;7.0000;3
celery;5.6667;3
pineapple;11.5000;4
zoo;14.6667;6
brum;46.3333;3
steady;11.0000;3
seaside;8.0000;4
town;5.8000;5
goodness;3.5000;2
sneeze;4.8000;5
Granddad;36.2500;4
further;1.6667;3
Kirsty;3.0000;2
Emily;2.0000;3
Gran;2.0000;1
page;28.2000;5
Momma;1.0000;2
snail;10.4000;5
snow;14.0000;6
splash;15.1667;6
sandwich;16.1667;6
shush;12.0000;4
blow;26.3333;6
weed;4.7500;4
bubble;10.0000;6
present;18.8000;5
silly;33.1667;6
Mum_Mum;2.0000;2
closer;1.3333;3
Rachel;19.8000;5
lovely;13.3333;6
Da_bear;3.0000;1
Ring_roses;4.0000;1
cheeky;5.6667;6
mannie;5.0000;1
ahem;1.0000;1
brick;120.0000;6
bibbie;1.3333;3
penny;31.0000;5
tractor;60.5000;6
driver;52.0000;5
ss;5.7500;4
dong;3.6667;3
wet;40.5000;6
ham;4.0000;5
Minny;2.0000;1
din;6.7500;4
dodo;5.5000;2
lip;3.2000;5
poster;1.5000;4
wheel;75.3333;6
er;51.2500;4
stone;9.7500;4
bow;10.5000;4
hoop;7.3333;3
cheek;2.6667;3
share;5.8333;6
Mary;11.5000;4
stack;2.2000;5
pound;19.6000;5
carpet;9.2000;5
peach;17.3333;3
van;27.3333;6
rat;4.5000;4
nut;19.2000;5
bee;12.8000;5
neigh;13.5000;4
dead;11.0000;6
sack;2.0000;1
pay;9.8000;5
bump;64.0000;6
greenie;1.0000;1
Toby;46.7500;4
knick;7.6667;3
wave;7.0000;4
choochoo;7.6667;3
whoo;15.6000;5
smoke;13.5000;6
coal;10.5000;4
ticket;6.0000;4
Worzel;2.0000;1
knock;49.3333;6
monster;27.6667;6
polish;2.0000;3
Ted;22.3333;3
Percy;153.6667;3
keeper;1.0000;2
string;4.2500;4
hen;20.6667;6
plate;40.0000;5
porridge;6.2000;5
hammer;29.8333;6
armband;5.7500;4
jungle;3.4000;5
peek;1.0000;1
Pingu;36.3333;6
Ian;3.0000;3
cross;21.8333;6
Bert;11.6667;3
phone;24.1667;6
aeroplane;19.8333;6
nana;65.2000;5
moon;11.6000;5
star;36.0000;4
grr;22.3333;3
Symber;8.0000;1
peep;41.6000;5
Thomas_Engine;1.0000;1
bounce;6.0000;4
bouncy;2.8000;5
gribbet;3.3333;3
Spot;24.2000;5
spout;3.0000;4
fee;9.1667;6
nee;54.0000;3
burny;1.2500;4
noisy;12.1667;6
Zita;30.0000;2
screwdriver;10.6667;3
tortoise;8.0000;5
ugh;8.6667;3
ooo;1.6667;3
Wayne;3.0000;1
Gordon;154.2500;4
Henry;81.7500;4
straw;5.5000;4
fox;5.5000;4
ambulance;18.4000;5
tap;6.8333;6
build;83.8333;6
eh;9.1429;7
grrr;26.5000;4
croc;10.5000;2
rid;12.2500;4
tight;11.8333;6
circus;2.6000;5
castle;25.8000;5
poor;42.7500;4
pa;4.3333;3
handle;3.0000;4
poorly;39.7500;4
Amy;5.8000;5
rainbow;13.7500;4
lemon;29.7500;4
cheer;3.0000;4
beep;60.0000;5
Charles;1.0000;1
bat;5.7500;4
jumper;9.6000;5
Thom;2.5000;2
ribbet;4.3333;3
froggie;8.3333;3
shin;1.5000;2
ouch;33.5000;4
Tiggie;5.0000;1
Pooh;8.3333;3
Piglet;6.2500;4
Eeyore;2.3333;3
Kanga;2.0000;1
Roo;2.0000;1
oo;10.1429;7
squeak;13.2500;4
tennis;1.5000;2
air;6.8000;5
nanas;13.6667;3
kite;9.6667;6
Berthorse;3.0000;1
smile;8.8000;5
rocket;7.5000;4
Fat_Controller;19.6667;3
Clara;4.0000;1
Th;10.0000;5
poop;6.2500;4
Pat;12.8000;5
Jess;9.7500;4
Goggins;2.5000;2
Edward;62.3333;3
woof;17.4000;5
its;7.5000;6
achoo;23.6667;3
digger;40.5000;6
sweet;14.8333;6
king;10.0000;6
c;16.0000;6
Berton;1.0000;1
Bertthe;1.0000;2
Jane;3.2500;4
cluck;4.0000;3
butterfly;12.6667;6
bumble;2.0000;4
Mickey_Mouse;3.0000;3
Granny;21.6667;6
sticky;22.5000;4
engine;34.3333;6
Thomas_the_Tank;9.3333;3
track;51.0000;5
Thomas_Tank;6.0000;2
cockpit;1.0000;1
as_well;38.0000;6
upset;4.0000;2
Tank;17.0000;5
fireman;13.2500;4
The_Tank;2.0000;1
Thomas_and_the_Tank;1.0000;1
booby;3.0000;2
out_of;25.5714;7
ladder;18.8333;6
mane;1.5000;2
Daddys;1.5000;2
Postman_Pat;41.3333;3
knickers;20.3333;3
