path;age
Belfast/Barbara/barb01.xml;28
Belfast/David/david01.xml;24
Belfast/David/david02.xml;24
Belfast/David/david03.xml;25
Belfast/David/david04.xml;25
Belfast/David/david05.xml;26
Belfast/Michelle/mich02.xml;28
Belfast/Rachel/rachel1.xml;29
Cruttenden/Jane/jane08.xml;24
Cruttenden/Jane/jane09.xml;25
Cruttenden/Jane/jane10.xml;27
Cruttenden/Jane/jane11.xml;28
Cruttenden/Jane/jane12.xml;28
Cruttenden/Jane/jane13.xml;28
Cruttenden/Lucy/lucy08.xml;24
Cruttenden/Lucy/lucy09.xml;25
Cruttenden/Lucy/lucy10.xml;27
Cruttenden/Lucy/lucy11.xml;28
Cruttenden/Lucy/lucy12.xml;28
Cruttenden/Lucy/lucy13.xml;28
Cruttenden/Lucy/lucy14.xml;29
Manchester/anne/anne07a.xml;24
Manchester/anne/anne07b.xml;24
Manchester/anne/anne08a.xml;24
Manchester/anne/anne08b.xml;24
Manchester/anne/anne09a.xml;24
Manchester/anne/anne09b.xml;24
Manchester/anne/anne10a.xml;25
Manchester/anne/anne10b.xml;25
Manchester/anne/anne11a.xml;25
Manchester/anne/anne11b.xml;25
Manchester/anne/anne12a.xml;25
Manchester/anne/anne12b.xml;25
Manchester/anne/anne13a.xml;26
Manchester/anne/anne13b.xml;26
Manchester/anne/anne14a.xml;26
Manchester/anne/anne14b.xml;26
Manchester/anne/anne15a.xml;27
Manchester/anne/anne15b.xml;27
Manchester/anne/anne16a.xml;27
Manchester/anne/anne16b.xml;27
Manchester/anne/anne17a.xml;27
Manchester/anne/anne17b.xml;27
Manchester/anne/anne18a.xml;28
Manchester/anne/anne18b.xml;28
Manchester/anne/anne19a.xml;28
Manchester/anne/anne19b.xml;28
Manchester/anne/anne20a.xml;28
Manchester/anne/anne20b.xml;28
Manchester/anne/anne21a.xml;29
Manchester/anne/anne21b.xml;29
Manchester/anne/anne22a.xml;29
Manchester/anne/anne22b.xml;29
Manchester/anne/anne23a.xml;29
Manchester/anne/anne23b.xml;29
Manchester/aran/aran03a.xml;24
Manchester/aran/aran03b.xml;24
Manchester/aran/aran04a.xml;24
Manchester/aran/aran04b.xml;24
Manchester/aran/aran05a.xml;25
Manchester/aran/aran05b.xml;25
Manchester/aran/aran06a.xml;25
Manchester/aran/aran06b.xml;25
Manchester/aran/aran07a.xml;25
Manchester/aran/aran07b.xml;25
Manchester/aran/aran08a.xml;25
Manchester/aran/aran08b.xml;25
Manchester/aran/aran09a.xml;26
Manchester/aran/aran09b.xml;26
Manchester/aran/aran10a.xml;26
Manchester/aran/aran10b.xml;26
Manchester/aran/aran11a.xml;26
Manchester/aran/aran11b.xml;26
Manchester/aran/aran12a.xml;27
Manchester/aran/aran12b.xml;27
Manchester/aran/aran13a.xml;27
Manchester/aran/aran13b.xml;27
Manchester/aran/aran15a.xml;28
Manchester/aran/aran15b.xml;28
Manchester/aran/aran16a.xml;28
Manchester/aran/aran16b.xml;28
Manchester/aran/aran17a.xml;28
Manchester/aran/aran17b.xml;28
Manchester/aran/aran18a.xml;29
Manchester/aran/aran18b.xml;29
Manchester/aran/aran19a.xml;29
Manchester/aran/aran19b.xml;29
