path;age
Belfast/Barbara/barb15.xml;49
Belfast/Conor/conor06.xml;48
Belfast/Conor/conor07.xml;48
Belfast/Conor/conor08.xml;49
Belfast/Conor/conor09.xml;50
Belfast/Conor/conor10.xml;51
Belfast/Conor/conor11.xml;52
Belfast/Conor/conor12.xml;53
Belfast/Conor/conorsr1.xml;48
Belfast/Courtney/court07.xml;48
Belfast/David/davkath1.xml;48
Belfast/David/davkath2.xml;50
Belfast/John/john06.xml;48
Belfast/John/john07.xml;52
Belfast/Michelle/mich13.xml;50
Belfast/Michelle/mich14.xml;52
Belfast/Stuart/stu06.xml;49
Belfast/Stuart/stuadam.xml;52
Belfast/Stuart/stuasr4.xml;53
Belfast/Stuart/stusr3.xml;52
