path;age
Belfast/Barbara/barb02.xml;40
Belfast/Barbara/barb08.xml;38
Belfast/Barbara/barb09.xml;39
Belfast/Barbara/barb10.xml;41
Belfast/Courtney/court01.xml;40
Belfast/Courtney/court02.xml;41
Belfast/David/david09.xml;36
Belfast/David/david10.xml;39
Belfast/David/david11.xml;41
Belfast/John/john01.xml;41
Belfast/Michelle/mich07.xml;37
Belfast/Michelle/mich08.xml;39
Belfast/Rachel/rachel9.xml;38
Belfast/Stuart/stu01.xml;41
Cruttenden/Jane/jane20.xml;36
Cruttenden/Jane/jane23.xml;40
Cruttenden/Lucy/lucy20.xml;36
Cruttenden/Lucy/lucy23.xml;40
Manchester/nic/nic33a.xml;36
Manchester/nic/nic33b.xml;36
Manchester/nic/nic34a.xml;36
Manchester/nic/nic34b.xml;36
Tommerdahl/unknow/AJC1.xml;38
Tommerdahl/unknow/AJC2.xml;37
Tommerdahl/unknow/BDO1.xml;37
Tommerdahl/unknow/BDO2.xml;37
Tommerdahl/unknow/CDH1.xml;38
Tommerdahl/unknow/FC1.xml;37
Tommerdahl/unknow/FC2.xml;37
Tommerdahl/unknow/JH1.xml;40
Tommerdahl/unknow/LP1.xml;40
Tommerdahl/unknow/LP2.xml;40
Tommerdahl/unknow/MEH1.xml;39
Tommerdahl/unknow/MH1.xml;37
Tommerdahl/unknow/MH2.xml;37
Tommerdahl/unknow/OH1.xml;38
Tommerdahl/unknow/OH2.xml;38
Tommerdahl/unknow/OMS1.xml;39
Tommerdahl/unknow/OMS2.xml;39
Tommerdahl/unknow/WJAW1.xml;37
Tommerdahl/unknow/WJAW2.xml;37
