word;quantity;frequency
toothbrush;24;0.016
brush;32;0.021
banana;16;0.011
flower;32;0.021
represent;8;0.005
car;32;0.021
noise;8;0.005
Daddy;24;0.016
spoon;24;0.016
cot;24;0.016
door;32;0.021
pig;8;0.005
nose;16;0.011
chair;64;0.042
mouth;16;0.011
paper;64;0.042
byebye;8;0.005
plane;8;0.005
cow;16;0.011
meow;8;0.005
boy;56;0.037
bus;32;0.021
shoe;24;0.016
teddy;24;0.016
pram;16;0.011
mug;16;0.011
gate;8;0.005
cake;48;0.032
biscuit;8;0.005
light;16;0.011
baby;56;0.037
fish;8;0.005
hat;8;0.005
down;8;0.005
milk;8;0.005
pencil;8;0.005
rain;8;0.005
tea;24;0.016
woman;8;0.005
doggy;40;0.026
comb;24;0.016
pear;8;0.005
apple;48;0.032
piggy;16;0.011
lady;24;0.016
horse;8;0.005
tell;8;0.005
puppy;8;0.005
duck;24;0.016
mummie;16;0.011
stair;8;0.005
key;16;0.011
tongue;24;0.016
bed;8;0.005
jam;16;0.011
nail;8;0.005
sun;24;0.016
table;8;0.005
tree;8;0.005
cup;16;0.011
bath;8;0.005
bag;16;0.011
seesaw;24;0.016
no;8;0.005
man;8;0.005
letter;8;0.005
road;8;0.005
all_gone;8;0.005
sock;8;0.005
eye;8;0.005
bib;8;0.005
birdie;16;0.011
girl;8;0.005
sheep;8;0.005
pen;8;0.005
sweetie;8;0.005
Sandy;8;0.005
jug;8;0.005
Ribena;8;0.005
scarf;8;0.005
