word;quantity;frequency
hello;54;0.0003
yeah;3042;0.0161
I;8592;0.0455
be;12240;0.0649
have;2106;0.0112
soup;18;0.0001
look;924;0.0049
would;300;0.0016
you;3972;0.0211
read;126;0.0007
it;5052;0.0268
for;840;0.0045
me;978;0.0052
yes;1254;0.0066
cause;1236;0.0066
my;1998;0.0106
mummie;312;0.0017
too;324;0.0017
busy;6;0.0
tidy;42;0.0002
up;882;0.0047
do;4854;0.0257
not;3426;0.0182
know;1176;0.0062
what;2508;0.0133
and;4278;0.0227
about;204;0.0011
all;1014;0.0054
no;2832;0.015
they;1494;0.0079
draw;138;0.0007
there;2526;0.0134
story;54;0.0003
a;4662;0.0247
kitchen;30;0.0002
play;840;0.0045
dough;6;0.0
paint;18;0.0001
two;642;0.0034
box;60;0.0003
of;876;0.0046
sand;42;0.0002
want;2916;0.0155
to;2592;0.0137
somebody;36;0.0002
this;2010;0.0107
will;1422;0.0075
at;468;0.0025
them;1224;0.0065
now;690;0.0037
thank_you;30;0.0002
monkey;120;0.0006
okay;120;0.0006
c;192;0.001
t;132;0.0007
cat;30;0.0002
that;3900;0.0207
hard;126;0.0007
word;12;0.0001
one;2748;0.0146
need;384;0.002
cannot;426;0.0023
Cathy;198;0.001
time;198;0.001
in;2364;0.0125
the;5406;0.0287
dad;84;0.0004
sister;24;0.0001
put;606;0.0032
pram;48;0.0003
doggie;36;0.0002
think;330;0.0017
take;246;0.0013
out;402;0.0021
park;96;0.0005
toy;126;0.0007
Kilty;6;0.0
Duke;12;0.0001
big;888;0.0047
dog;48;0.0003
sit;204;0.0011
wee;1008;0.0053
girl;216;0.0011
stand;72;0.0004
bird;30;0.0002
build;216;0.0011
tree;108;0.0006
baby;126;0.0007
run;96;0.0005
away;216;0.0011
picnic;12;0.0001
just;876;0.0046
food;42;0.0002
some;300;0.0016
teeth;54;0.0003
like;852;0.0045
Tyrannosaurus;12;0.0001
Rex;12;0.0001
his;588;0.0031
Tyrannosaur;6;0.0
stink;36;0.0002
stinky;30;0.0002
winky;18;0.0001
can;750;0.004
go;3480;0.0184
she;1164;0.0062
ball;54;0.0003
throw;102;0.0005
way;132;0.0007
O;834;0.0044
well;948;0.005
has_to;48;0.0003
cowboy;18;0.0001
on;1074;0.0057
spider;48;0.0003
giant;30;0.0002
ah;204;0.0011
vacuum;6;0.0
clean;12;0.0001
agh;12;0.0001
explosive;24;0.0001
man;288;0.0015
he;2928;0.0155
castle;204;0.0011
Mummy;264;0.0014
with;762;0.004
horse;114;0.0006
rock;30;0.0002
him;876;0.0046
fast;36;0.0002
fell;168;0.0009
down;468;0.0025
from;180;0.001
r;54;0.0003
robot;24;0.0001
name;144;0.0008
Conor;18;0.0001
four;240;0.0013
Craiglands;6;0.0
love;126;0.0007
dinosaur;348;0.0018
see;1116;0.0059
Daddy;126;0.0007
school;156;0.0008
work;210;0.0011
nursery;42;0.0002
doll;18;0.0001
boy;228;0.0012
bike;90;0.0005
home;132;0.0007
Matthew;6;0.0
good;138;0.0007
shop;96;0.0005
brother;36;0.0002
any;210;0.0011
bus;12;0.0001
anymore;48;0.0003
Playbus;6;0.0
snowy;18;0.0001
jig;6;0.0
jigsaw;114;0.0006
today;210;0.0011
bear;36;0.0002
zoo;24;0.0001
more;132;0.0007
scar;42;0.0002
over;240;0.0013
tiger;66;0.0003
saw;150;0.0008
Thomas;126;0.0007
television;6;0.0
ask;42;0.0002
could;264;0.0014
hungry;54;0.0003
wonder;24;0.0001
if;186;0.001
