word;quantity;frequency
buy;93;0.0008
Barbie;18;0.0002
next;33;0.0003
page;3;0.0
toothbrush;6;0.0001
mornin;3;0.0
time;105;0.0009
squeeze;9;0.0001
naughty;6;0.0001
clean;9;0.0001
teeth;36;0.0003
whistle;3;0.0
open;84;0.0007
eye;39;0.0003
silly;45;0.0004
plump;3;0.0
pajama;60;0.0005
cross;6;0.0001
face;12;0.0001
give;189;0.0016
their;69;0.0006
sure;27;0.0002
Grandma;6;0.0001
Jones;3;0.0
stick;21;0.0002
kitten;3;0.0
telephone;12;0.0001
eat;198;0.0017
chocolate;24;0.0002
more;99;0.0009
tummy;6;0.0001
biscuit;15;0.0001
Wheatabix;12;0.0001
porridge;12;0.0001
huh;51;0.0004
wantin;3;0.0
cake;24;0.0002
recipe;3;0.0
cut;72;0.0006
knee;6;0.0001
hurt;51;0.0004
sore;33;0.0003
plaster;15;0.0001
clock;42;0.0004
ring;21;0.0002
cold;36;0.0003
sneeze;3;0.0
sandwich;3;0.0
phone;12;0.0001
sausage;18;0.0002
doin;15;0.0001
playin;12;0.0001
aw;12;0.0001
yuck;6;0.0001
rabbit;36;0.0003
slipper;12;0.0001
pair;3;0.0
Noddys;3;0.0
why;279;0.0024
own;21;0.0002
thank;30;0.0003
find;105;0.0009
piece;36;0.0003
enough;30;0.0003
room;75;0.0007
again;144;0.0013
nearly;27;0.0002
feelin;3;0.0
bit;27;0.0002
Dinah;6;0.0001
got_to;3;0.0
yellow;99;0.0009
hop;15;0.0001
hoppin;3;0.0
watchin;3;0.0
Mister;15;0.0001
Bean;3;0.0
Tweety;3;0.0
Pie;6;0.0001
necklace;30;0.0003
hers;6;0.0001
newspaper;6;0.0001
magazine;9;0.0001
basket;9;0.0001
bucket;12;0.0001
rock;18;0.0002
fire;48;0.0004
burn;24;0.0002
coal;3;0.0
durin;3;0.0
Santa;51;0.0004
by;9;0.0001
hear;42;0.0004
nothin;18;0.0002
goin;27;0.0002
jumpy;9;0.0001
jump;36;0.0003
hoppy;9;0.0001
wait;60;0.0005
vest;6;0.0001
button;27;0.0002
tryin;6;0.0001
pendant;3;0.0
out_of;60;0.0005
your;285;0.0025
doggy;15;0.0001
eggie;30;0.0003
noise;51;0.0004
scratch;6;0.0001
Buzz;9;0.0001
Lightyear;6;0.0001
Cathy;48;0.0004
bone;27;0.0002
sweetie;63;0.0005
crisp;9;0.0001
Pingu;6;0.0001
learn;3;0.0
knit;6;0.0001
bag;69;0.0006
dolly;45;0.0004
Cinders;3;0.0
Jill;3;0.0
Sarah;9;0.0001
Lisa;9;0.0001
