word;quantity;frequency
book;16;0.0105
toothbrush;24;0.0158
brush;32;0.0211
banana;16;0.0105
flower;32;0.0211
represent;8;0.0053
car;32;0.0211
noise;8;0.0053
Daddy;24;0.0158
spoon;24;0.0158
cot;24;0.0158
door;32;0.0211
pig;8;0.0053
nose;16;0.0105
chair;64;0.0421
mouth;16;0.0105
paper;64;0.0421
byebye;8;0.0053
plane;8;0.0053
cow;16;0.0105
meow;8;0.0053
boy;56;0.0368
ball;48;0.0316
bus;32;0.0211
shoe;24;0.0158
teddy;24;0.0158
pram;16;0.0105
mug;16;0.0105
gate;8;0.0053
cake;48;0.0316
biscuit;8;0.0053
light;16;0.0105
baby;56;0.0368
fish;8;0.0053
hat;8;0.0053
down;8;0.0053
milk;8;0.0053
pencil;8;0.0053
rain;8;0.0053
tea;24;0.0158
woman;8;0.0053
doggy;40;0.0263
comb;24;0.0158
pear;8;0.0053
apple;48;0.0316
piggy;16;0.0105
lady;24;0.0158
horse;8;0.0053
tell;8;0.0053
puppy;8;0.0053
water;24;0.0158
duck;24;0.0158
mummie;16;0.0105
stair;8;0.0053
key;16;0.0105
tongue;24;0.0158
bed;8;0.0053
jam;16;0.0105
nail;8;0.0053
sun;24;0.0158
table;8;0.0053
tree;8;0.0053
bird;8;0.0053
rabbit;8;0.0053
cup;16;0.0105
of;8;0.0053
bath;8;0.0053
bag;16;0.0105
seesaw;24;0.0158
no;8;0.0053
egg;8;0.0053
man;8;0.0053
letter;8;0.0053
road;8;0.0053
all_gone;8;0.0053
sock;8;0.0053
eye;8;0.0053
bib;8;0.0053
birdie;16;0.0105
girl;8;0.0053
sheep;8;0.0053
pen;8;0.0053
sweetie;8;0.0053
Sandy;8;0.0053
jug;8;0.0053
Ribena;8;0.0053
scarf;8;0.0053
