word;quantity;frequency
leave;180;0.0007
mum;783;0.0029
keep;99;0.0004
wipe;18;0.0001
their;117;0.0004
cup;315;0.0012
tea;162;0.0006
Claus;9;0.0
today;117;0.0004
else;126;0.0005
an;171;0.0006
doll;36;0.0001
upstairs;54;0.0002
always;27;0.0001
cry;54;0.0002
sometimes;9;0.0
as_well;81;0.0003
last;18;0.0001
Granda;18;0.0001
g;45;0.0002
after;27;0.0001
sticky;18;0.0001
Granny;45;0.0002
Rangers;36;0.0001
ow;135;0.0005
bite;387;0.0014
finger;54;0.0002
suck;9;0.0
four;54;0.0002
five;54;0.0002
six;63;0.0002
seven;36;0.0001
nine;18;0.0001
once;9;0.0
catch;72;0.0003
fish;117;0.0004
alive;9;0.0
would;54;0.0002
slipper;45;0.0002
Barbara;9;0.0
please;108;0.0004
storm;27;0.0001
walk;99;0.0004
hallway;9;0.0
how;180;0.0007
night;18;0.0001
hall;9;0.0
umbrella;45;0.0002
pretend;225;0.0008
thank_you;198;0.0007
say;369;0.0014
generally;9;0.0
real;45;0.0002
firm;9;0.0
evidence;9;0.0
really;81;0.0003
hurt;117;0.0004
exercise;9;0.0
better;63;0.0002
small;90;0.0003
G_B;9;0.0
Hokey_Pokey;9;0.0
right;423;0.0016
arm;18;0.0001
Lion;90;0.0003
King;18;0.0001
tape;27;0.0001
Simba;9;0.0
t;171;0.0006
fl;9;0.0
puppy;117;0.0004
call;216;0.0008
thingy;36;0.0001
tree;252;0.0009
elephant;45;0.0002
tiger;90;0.0003
horsie;234;0.0009
giraffe;225;0.0008
oink;36;0.0001
zoo;54;0.0002
sheep;144;0.0005
funny;261;0.001
c;45;0.0002
pram;54;0.0002
motorbike;27;0.0001
farm;90;0.0003
face;72;0.0003
horse;198;0.0007
Stripe;9;0.0
tell;54;0.0002
animal;297;0.0011
Ethan;162;0.0006
nursery;36;0.0001
window;171;0.0006
och;9;0.0
yeh;27;0.0001
twin;9;0.0
think;414;0.0015
much;45;0.0002
bang;63;0.0002
everyone;9;0.0
hand;252;0.0009
ear;144;0.0005
trunk;9;0.0
outside;72;0.0003
into;81;0.0003
water;441;0.0016
himself;45;0.0002
wash;225;0.0008
yourself;36;0.0001
from;135;0.0005
ring;27;0.0001
sh;9;0.0
mish;9;0.0
Michelle;9;0.0
cousin;9;0.0
Chelle;9;0.0
cat;585;0.0022
truck;63;0.0002
h;45;0.0002
fat;27;0.0001
dolphin;9;0.0
bubble;9;0.0
Mummy;711;0.0027
Mel;9;0.0
cough;9;0.0
doctor;144;0.0005
motor;18;0.0001
yellow;153;0.0006
game;54;0.0002
safe;9;0.0
horsies;18;0.0001
fit;207;0.0008
lift;54;0.0002
helicopter;261;0.001
wear;27;0.0001
still;63;0.0002
fur;9;0.0
must;27;0.0001
Cecil;18;0.0001
brother;36;0.0001
enough;45;0.0002
birthday;216;0.0008
Caspar;27;0.0001
time;207;0.0008
before;27;0.0001
first;72;0.0003
br;9;0.0
mother;9;0.0
nappy;9;0.0
Da;18;0.0001
life;9;0.0
shout;18;0.0001
feed;9;0.0
listen;9;0.0
hold;216;0.0008
roller;9;0.0
drop;45;0.0002
swim;81;0.0003
self;9;0.0
knee;18;0.0001
story;45;0.0002
myself;36;0.0001
dad;45;0.0002
splash;27;0.0001
happy;126;0.0005
scar;18;0.0001
shower;18;0.0001
together;90;0.0003
rain;54;0.0002
saw;81;0.0003
band;9;0.0
a_lot_of;9;0.0
noise;144;0.0005
yep;171;0.0006
stand;63;0.0002
path;9;0.0
Sally;18;0.0001
awfully;9;0.0
might;72;0.0003
lots_of;27;0.0001
cupboard;27;0.0001
fell;72;0.0003
watch;135;0.0005
song;72;0.0003
strong;9;0.0
hop;36;0.0001
Devin;27;0.0001
hit;45;0.0002
teacher;18;0.0001
Courtney;18;0.0001
friend;126;0.0005
Janine;9;0.0
Henry;45;0.0002
Elizabeth;9;0.0
Mark;9;0.0
d;81;0.0003
egg;63;0.0002
little;486;0.0018
duck;54;0.0002
pick;54;0.0002
smile;9;0.0
Rusty;9;0.0
dig;63;0.0002
rabbit;441;0.0016
wake;189;0.0007
morning;45;0.0002
tail;9;0.0
pig;153;0.0006
hen;18;0.0001
move;135;0.0005
ha;27;0.0001
someone;63;0.0002
fly;144;0.0005
Dumbo;9;0.0
draw;45;0.0002
till;18;0.0001
Goldilocks;54;0.0002
porridge;54;0.0002
soft;9;0.0
Goldilock;9;0.0
chair;99;0.0004
slip;9;0.0
snow;45;0.0002
build;54;0.0002
wall;63;0.0002
clean;45;0.0002
freeze;9;0.0
chicken;36;0.0001
melt;9;0.0
sneeze;9;0.0
piece;45;0.0002
minute;81;0.0003
ball;63;0.0002
different;36;0.0001
card;9;0.0
Mogoli;9;0.0
jungle;45;0.0002
already;27;0.0001
foot;54;0.0002
Giggs;9;0.0
United;9;0.0
Cantona;9;0.0
Backham;18;0.0001
Schmeichel;9;0.0
stop;63;0.0002
spit;9;0.0
nothin;18;0.0001
power;27;0.0001
ranger;36;0.0001
spike;9;0.0
shoot;9;0.0
people;135;0.0005
talk;45;0.0002
Indians;9;0.0
white;27;0.0001
nope;18;0.0001
next;108;0.0004
Denver;54;0.0002
van;45;0.0002
part;54;0.0002
pussy;135;0.0005
show;81;0.0003
lie;45;0.0002
ice;351;0.0013
monkey;378;0.0014
dunno;135;0.0005
head;99;0.0004
die;27;0.0001
moon;36;0.0001
star;18;0.0001
silly;72;0.0003
crocodile;18;0.0001
seep;9;0.0
happen;36;0.0001
Helen;18;0.0001
hum;9;0.0
Fred;9;0.0
brick;90;0.0003
wreckin;9;0.0
toe;18;0.0001
sign;45;0.0002
tv;9;0.0
poster;9;0.0
noisy;18;0.0001
horn;18;0.0001
Mrs;63;0.0002
McCartney;18;0.0001
Sticklebricks;18;0.0001
same;27;0.0001
as;18;0.0001
yours;126;0.0005
name;135;0.0005
remember;63;0.0002
hm;45;0.0002
stack;9;0.0
car;441;0.0016
Justin;45;0.0002
mhm;54;0.0002
aha;9;0.0
class;9;0.0
teach;9;0.0
b;18;0.0001
e;27;0.0001
v;18;0.0001
r;18;0.0001
y;63;0.0002
l;18;0.0001
ten;18;0.0001
eleven;9;0.0
easy;45;0.0002
zero;9;0.0
X;27;0.0001
work;81;0.0003
learn;18;0.0001
spell;63;0.0002
cellotape;36;0.0001
office;45;0.0002
biscuit;126;0.0005
bowl;135;0.0005
bump;45;0.0002
point;27;0.0001
wreck;9;0.0
in_case;9;0.0
beside;36;0.0001
throw;72;0.0003
fireplace;9;0.0
tissue;9;0.0
picture;63;0.0002
something;225;0.0008
half;27;0.0001
boot;27;0.0001
cant;9;0.0
yip;18;0.0001
hammer;45;0.0002
fence;18;0.0001
Nooo;9;0.0
spider;27;0.0001
Is;9;0.0
pipe;9;0.0
forget;27;0.0001
spout;9;0.0
eensie;9;0.0
baa;54;0.0002
wool;18;0.0001
lane;18;0.0001
sand;18;0.0001
brr;36;0.0001
hole;81;0.0003
David;9;0.0
Steven;18;0.0001
press;54;0.0002
