word;quantity;frequency
book;4;0.0105
toothbrush;6;0.0158
brush;8;0.0211
banana;4;0.0105
flower;8;0.0211
represent;2;0.0053
car;8;0.0211
noise;2;0.0053
Daddy;6;0.0158
spoon;6;0.0158
cot;6;0.0158
door;8;0.0211
pig;2;0.0053
nose;4;0.0105
chair;16;0.0421
mouth;4;0.0105
paper;16;0.0421
byebye;2;0.0053
plane;2;0.0053
cow;4;0.0105
meow;2;0.0053
boy;14;0.0368
ball;12;0.0316
bus;8;0.0211
shoe;6;0.0158
teddy;6;0.0158
pram;4;0.0105
mug;4;0.0105
gate;2;0.0053
cake;12;0.0316
biscuit;2;0.0053
light;4;0.0105
baby;14;0.0368
fish;2;0.0053
hat;2;0.0053
down;2;0.0053
milk;2;0.0053
pencil;2;0.0053
rain;2;0.0053
tea;6;0.0158
woman;2;0.0053
doggy;10;0.0263
comb;6;0.0158
pear;2;0.0053
apple;12;0.0316
piggy;4;0.0105
lady;6;0.0158
horse;2;0.0053
tell;2;0.0053
puppy;2;0.0053
water;6;0.0158
duck;6;0.0158
mummie;4;0.0105
stair;2;0.0053
key;4;0.0105
tongue;6;0.0158
bed;2;0.0053
jam;4;0.0105
nail;2;0.0053
sun;6;0.0158
table;2;0.0053
tree;2;0.0053
bird;2;0.0053
rabbit;2;0.0053
cup;4;0.0105
of;2;0.0053
bath;2;0.0053
bag;4;0.0105
seesaw;6;0.0158
no;2;0.0053
egg;2;0.0053
man;2;0.0053
letter;2;0.0053
road;2;0.0053
all_gone;2;0.0053
sock;2;0.0053
eye;2;0.0053
bib;2;0.0053
birdie;4;0.0105
girl;2;0.0053
sheep;2;0.0053
pen;2;0.0053
sweetie;2;0.0053
Sandy;2;0.0053
jug;2;0.0053
Ribena;2;0.0053
scarf;2;0.0053
