word;quantity;frequency
mum;609;0.0029
keep;77;0.0004
wipe;14;0.0001
their;91;0.0004
cup;245;0.0012
tea;126;0.0006
Claus;7;0.0
today;91;0.0004
else;98;0.0005
an;133;0.0006
doll;28;0.0001
upstairs;42;0.0002
always;21;0.0001
cry;42;0.0002
sometimes;7;0.0
as_well;63;0.0003
last;14;0.0001
Granda;14;0.0001
g;35;0.0002
after;21;0.0001
sticky;14;0.0001
Granny;35;0.0002
Rangers;28;0.0001
ow;105;0.0005
bite;301;0.0014
finger;42;0.0002
suck;7;0.0
four;42;0.0002
five;42;0.0002
six;49;0.0002
seven;28;0.0001
nine;14;0.0001
once;7;0.0
catch;56;0.0003
fish;91;0.0004
alive;7;0.0
would;42;0.0002
slipper;35;0.0002
Barbara;7;0.0
please;84;0.0004
storm;21;0.0001
walk;77;0.0004
hallway;7;0.0
how;140;0.0007
night;14;0.0001
hall;7;0.0
umbrella;35;0.0002
pretend;175;0.0008
thank_you;154;0.0007
say;287;0.0014
generally;7;0.0
real;35;0.0002
firm;7;0.0
evidence;7;0.0
really;63;0.0003
hurt;91;0.0004
exercise;7;0.0
better;49;0.0002
small;70;0.0003
G_B;7;0.0
Hokey_Pokey;7;0.0
right;329;0.0016
arm;14;0.0001
Lion;70;0.0003
King;14;0.0001
tape;21;0.0001
Simba;7;0.0
t;133;0.0006
fl;7;0.0
puppy;91;0.0004
call;168;0.0008
thingy;28;0.0001
tree;196;0.0009
elephant;35;0.0002
tiger;70;0.0003
horsie;182;0.0009
giraffe;175;0.0008
oink;28;0.0001
zoo;42;0.0002
sheep;112;0.0005
funny;203;0.001
c;35;0.0002
pram;42;0.0002
motorbike;21;0.0001
farm;70;0.0003
face;56;0.0003
horse;154;0.0007
Stripe;7;0.0
tell;42;0.0002
animal;231;0.0011
Ethan;126;0.0006
nursery;28;0.0001
window;133;0.0006
och;7;0.0
yeh;21;0.0001
twin;7;0.0
think;322;0.0015
much;35;0.0002
bang;49;0.0002
everyone;7;0.0
hand;196;0.0009
ear;112;0.0005
trunk;7;0.0
outside;56;0.0003
into;63;0.0003
water;343;0.0016
himself;35;0.0002
wash;175;0.0008
yourself;28;0.0001
from;105;0.0005
ring;21;0.0001
sh;7;0.0
mish;7;0.0
Michelle;7;0.0
cousin;7;0.0
Chelle;7;0.0
cat;455;0.0022
truck;49;0.0002
h;35;0.0002
fat;21;0.0001
dolphin;7;0.0
bubble;7;0.0
Mummy;553;0.0027
Mel;7;0.0
cough;7;0.0
doctor;112;0.0005
motor;14;0.0001
yellow;119;0.0006
game;42;0.0002
safe;7;0.0
horsies;14;0.0001
fit;161;0.0008
lift;42;0.0002
helicopter;203;0.001
wear;21;0.0001
still;49;0.0002
fur;7;0.0
must;21;0.0001
Cecil;14;0.0001
brother;28;0.0001
enough;35;0.0002
birthday;168;0.0008
Caspar;21;0.0001
time;161;0.0008
before;21;0.0001
first;56;0.0003
br;7;0.0
mother;7;0.0
nappy;7;0.0
Da;14;0.0001
life;7;0.0
shout;14;0.0001
feed;7;0.0
listen;7;0.0
hold;168;0.0008
roller;7;0.0
drop;35;0.0002
swim;63;0.0003
self;7;0.0
knee;14;0.0001
story;35;0.0002
myself;28;0.0001
dad;35;0.0002
splash;21;0.0001
happy;98;0.0005
scar;14;0.0001
shower;14;0.0001
together;70;0.0003
rain;42;0.0002
saw;63;0.0003
band;7;0.0
a_lot_of;7;0.0
noise;112;0.0005
yep;133;0.0006
stand;49;0.0002
path;7;0.0
Sally;14;0.0001
awfully;7;0.0
might;56;0.0003
lots_of;21;0.0001
cupboard;21;0.0001
fell;56;0.0003
watch;105;0.0005
song;56;0.0003
strong;7;0.0
hop;28;0.0001
Devin;21;0.0001
hit;35;0.0002
teacher;14;0.0001
Courtney;14;0.0001
friend;98;0.0005
Janine;7;0.0
Henry;35;0.0002
Elizabeth;7;0.0
Mark;7;0.0
d;63;0.0003
egg;49;0.0002
little;378;0.0018
duck;42;0.0002
pick;42;0.0002
smile;7;0.0
Rusty;7;0.0
dig;49;0.0002
rabbit;343;0.0016
wake;147;0.0007
morning;35;0.0002
tail;7;0.0
pig;119;0.0006
hen;14;0.0001
move;105;0.0005
ha;21;0.0001
someone;49;0.0002
fly;112;0.0005
Dumbo;7;0.0
draw;35;0.0002
till;14;0.0001
Goldilocks;42;0.0002
porridge;42;0.0002
soft;7;0.0
Goldilock;7;0.0
chair;77;0.0004
slip;7;0.0
snow;35;0.0002
build;42;0.0002
wall;49;0.0002
clean;35;0.0002
freeze;7;0.0
chicken;28;0.0001
melt;7;0.0
sneeze;7;0.0
piece;35;0.0002
minute;63;0.0003
ball;49;0.0002
different;28;0.0001
card;7;0.0
Mogoli;7;0.0
jungle;35;0.0002
already;21;0.0001
foot;42;0.0002
Giggs;7;0.0
United;7;0.0
Cantona;7;0.0
Backham;14;0.0001
Schmeichel;7;0.0
stop;49;0.0002
spit;7;0.0
nothin;14;0.0001
power;21;0.0001
ranger;28;0.0001
spike;7;0.0
shoot;7;0.0
people;105;0.0005
talk;35;0.0002
Indians;7;0.0
white;21;0.0001
nope;14;0.0001
next;84;0.0004
Denver;42;0.0002
van;35;0.0002
part;42;0.0002
pussy;105;0.0005
show;63;0.0003
lie;35;0.0002
ice;273;0.0013
monkey;294;0.0014
dunno;105;0.0005
head;77;0.0004
die;21;0.0001
moon;28;0.0001
star;14;0.0001
silly;56;0.0003
crocodile;14;0.0001
seep;7;0.0
happen;28;0.0001
Helen;14;0.0001
hum;7;0.0
Fred;7;0.0
brick;70;0.0003
wreckin;7;0.0
toe;14;0.0001
sign;35;0.0002
tv;7;0.0
poster;7;0.0
noisy;14;0.0001
horn;14;0.0001
Mrs;49;0.0002
McCartney;14;0.0001
Sticklebricks;14;0.0001
same;21;0.0001
as;14;0.0001
yours;98;0.0005
name;105;0.0005
remember;49;0.0002
hm;35;0.0002
stack;7;0.0
car;343;0.0016
Justin;35;0.0002
mhm;42;0.0002
aha;7;0.0
class;7;0.0
teach;7;0.0
b;14;0.0001
e;21;0.0001
v;14;0.0001
r;14;0.0001
y;49;0.0002
l;14;0.0001
ten;14;0.0001
eleven;7;0.0
easy;35;0.0002
zero;7;0.0
X;21;0.0001
work;63;0.0003
learn;14;0.0001
spell;49;0.0002
cellotape;28;0.0001
office;35;0.0002
biscuit;98;0.0005
bowl;105;0.0005
bump;35;0.0002
point;21;0.0001
wreck;7;0.0
in_case;7;0.0
beside;28;0.0001
throw;56;0.0003
fireplace;7;0.0
tissue;7;0.0
picture;49;0.0002
something;175;0.0008
half;21;0.0001
boot;21;0.0001
cant;7;0.0
yip;14;0.0001
hammer;35;0.0002
fence;14;0.0001
Nooo;7;0.0
spider;21;0.0001
Is;7;0.0
pipe;7;0.0
forget;21;0.0001
spout;7;0.0
eensie;7;0.0
baa;42;0.0002
wool;14;0.0001
lane;14;0.0001
sand;14;0.0001
brr;28;0.0001
hole;63;0.0003
David;7;0.0
Steven;14;0.0001
press;42;0.0002
button;21;0.0001
hello;294;0.0014
number;28;0.0001
properly;14;0.0001
nanny;91;0.0004
bye;126;0.0006
hiya;7;0.0
fix;21;0.0001
brilliant;7;0.0
choo;42;0.0002
Lisburn;7;0.0
love;21;0.0001
stair;35;0.0002
Jim;21;0.0001
ach;7;0.0
hi;35;0.0002
ya;42;0.0002
ready;49;0.0002
battery;7;0.0
halloween;21;0.0001
jingle;77;0.0004
Im;7;0.0
than;14;0.0001
got_to;14;0.0001
makeup;7;0.0
dress;7;0.0
front;14;0.0001
feel;21;0.0001
Jimmy;7;0.0
party;56;0.0003
glass;77;0.0004
tablet;14;0.0001
mouth;28;0.0001
Glen;7;0.0
paint;42;0.0002
inside;56;0.0003
carry;14;0.0001
John;7;0.0
pin;7;0.0
jug;7;0.0
shape;28;0.0001
lady;203;0.001
cake;126;0.0006
Rose;7;0.0
apron;14;0.0001
match;42;0.0002
short;14;0.0001
dada;21;0.0001
age;7;0.0
near;7;0.0
dangerous;7;0.0
tickle;14;0.0001
body;14;0.0001
comin;14;0.0001
wood;7;0.0
dead;14;0.0001
apple;105;0.0005
holdin;7;0.0
centre;21;0.0001
step;91;0.0004
street;7;0.0
glue;14;0.0001
gun;7;0.0
soup;42;0.0002
pasta;21;0.0001
mash;7;0.0
potato;21;0.0001
pea;49;0.0002
dough;7;0.0
plate;133;0.0006
bake;14;0.0001
kickin;14;0.0001
photograph;7;0.0
playin;14;0.0001
robot;7;0.0
McLean;7;0.0
McCrory;7;0.0
Trimble;7;0.0
Navy;7;0.0
fire;175;0.0008
engine;126;0.0006
jus;21;0.0001
child;21;0.0001
monster;35;0.0002
floor;70;0.0003
hide;105;0.0005
seek;7;0.0
Peggy;7;0.0
ask;28;0.0001
Sant;7;0.0
pirate;21;0.0001
crock;7;0.0
Kathryn;14;0.0001
Superman;21;0.0001
chip;14;0.0001
Jacko;7;0.0
Lego;35;0.0002
sort;21;0.0001
waken;7;0.0
uk;14;0.0001
iron;7;0.0
Nicky;7;0.0
post;7;0.0
hospital;28;0.0001
kiss;28;0.0001
eggie;7;0.0
tonight;7;0.0
anybody;14;0.0001
caravan;7;0.0
ride;28;0.0001
Lisa;7;0.0
corner;21;0.0001
tidy;63;0.0003
roundabout;7;0.0
seesaw;7;0.0
oo;14;0.0001
lid;77;0.0004
choose;21;0.0001
everybody;21;0.0001
further;7;0.0
Mac;7;0.0
undo;7;0.0
wink;7;0.0
send;7;0.0
home;126;0.0006
forehead;7;0.0
shirt;14;0.0001
Charlie;14;0.0001
shoo;7;0.0
afternoon;7;0.0
curtain;7;0.0
lose;70;0.0003
Grandad;28;0.0001
wont;7;0.0
purple;35;0.0002
Jimbo;7;0.0
lemonade;35;0.0002
beat;7;0.0
cushion;7;0.0
video;7;0.0
Caroline;126;0.0006
Aunty_Lily;35;0.0002
run;105;0.0005
mischief;14;0.0001
whoop;14;0.0001
lolly;21;0.0001
pay;14;0.0001
Nicole;623;0.003
reach;14;0.0001
bend;7;0.0
dirty;63;0.0003
Jean;21;0.0001
Meg;7;0.0
bother;7;0.0
count;14;0.0001
money;21;0.0001
toaster;7;0.0
close;49;0.0002
dear;77;0.0004
Aunty;7;0.0
foil;7;0.0
roll;21;0.0001
out_of;14;0.0001
sun;7;0.0
shine;7;0.0
Molly;21;0.0001
downstairs;21;0.0001
shell;14;0.0001
dry;21;0.0001
starfish;28;0.0001
seahorse;7;0.0
shall;140;0.0007
all_gone;140;0.0007
week;28;0.0001
killer;7;0.0
Wheels_on_bus;14;0.0001
Peter_had_tune;7;0.0
Tina;21;0.0001
poor;42;0.0002
throat;14;0.0001
Fish_alive;7;0.0
cuddle;147;0.0007
plug;21;0.0001
pour;56;0.0003
pull;168;0.0008
raise;14;0.0001
fill;21;0.0001
seat;28;0.0001
soap;7;0.0
pot;63;0.0003
dinner;133;0.0006
mean;49;0.0002
write;35;0.0002
tap;14;0.0001
naughty;49;0.0002
under;42;0.0002
tomato;56;0.0003
has_to;28;0.0001
orange;203;0.001
cloud;21;0.0001
wiggly;21;0.0001
worm;21;0.0001
squash;14;0.0001
caterpillar;14;0.0001
settee;7;0.0
windmill;21;0.0001
ought;7;0.0
side;77;0.0004
sorry;35;0.0002
knife;56;0.0003
smelly;7;0.0
men;28;0.0001
fridge;77;0.0004
stamp;21;0.0001
wave;7;0.0
bouncy;7;0.0
pool;7;0.0
smell;7;0.0
hurry;14;0.0001
pie;14;0.0001
cooker;14;0.0001
cross;7;0.0
road;42;0.0002
cottage;14;0.0001
polar;231;0.0011
scratch;7;0.0
pan;49;0.0002
cook;28;0.0001
walrus;21;0.0001
cool;42;0.0002
though;21;0.0001
nose;21;0.0001
Lauren;14;0.0001
Abigail;14;0.0001
Alice;28;0.0001
Petra;21;0.0001
toddler;7;0.0
mend;7;0.0
rod;7;0.0
island;7;0.0
frog;35;0.0002
penguin;14;0.0001
crikey;7;0.0
dance;28;0.0001
Grandma;49;0.0002
noone;7;0.0
o'clock;7;0.0
circle;14;0.0001
tick;7;0.0
doggie;28;0.0001
switch;7;0.0
asleep;7;0.0
suitcase;21;0.0001
bottom;21;0.0001
night_night;35;0.0002
mind;21;0.0001
Peter_Rabbit;7;0.0
breakfast;42;0.0002
pinnie;14;0.0001
scale;28;0.0001
balance;42;0.0002
gotta;42;0.0002
heli;7;0.0
plane;77;0.0004
rescue;35;0.0002
mom;700;0.0034
decide;14;0.0001
helicop;7;0.0
umm;77;0.0004
needle;28;0.0001
ooh;49;0.0002
train;140;0.0007
airplane;63;0.0003
plan;14;0.0001
lip;14;0.0001
woof;147;0.0007
scary;14;0.0001
ninja;35;0.0002
turtle;70;0.0003
poo;91;0.0004
beddy;7;0.0
bathroom;14;0.0001
melon;56;0.0003
grape;168;0.0008
carpet;14;0.0001
knock;91;0.0004
kn;7;0.0
Daniel;49;0.0002
holiday;21;0.0001
don;7;0.0
juice;147;0.0007
a_little;7;0.0
blueberry;7;0.0
pepper;35;0.0002
pear;7;0.0
pattern;7;0.0
Connie;7;0.0
th;49;0.0002
wan;21;0.0001
ma;14;0.0001
fork;35;0.0002
cheese;133;0.0006
cheer;21;0.0001
huckleberry;7;0.0
yummy;7;0.0
ribbon;7;0.0
fair;14;0.0001
late;14;0.0001
Hannah;28;0.0001
Alex;7;0.0
Sarah;14;0.0001
peter;7;0.0
Barbie;14;0.0001
pop;7;0.0
boat;7;0.0
strawberry;91;0.0004
wow;21;0.0001
Helena;28;0.0001
hey;28;0.0001
top;56;0.0003
fuel;7;0.0
place;21;0.0001
above;7;0.0
avenue;7;0.0
ambul;7;0.0
Ben;7;0.0
re;7;0.0
dinosaur;49;0.0002
everyday;7;0.0
Ruit;7;0.0
picnic;42;0.0002
spoon;84;0.0004
peanut;7;0.0
food;63;0.0003
hisself;7;0.0
uuh;7;0.0
duke;14;0.0001
York;14;0.0001
mumble;7;0.0
rubbish;112;0.0005
stick;231;0.0011
sword;14;0.0001
drive;28;0.0001
ham;14;0.0001
Jemma;7;0.0
Mia;14;0.0001
bitter;7;0.0
turt;7;0.0
pla;14;0.0001
around;35;0.0002
poop;7;0.0
Dan_Gordon_Rampton;7;0.0
Gordon;14;0.0001
aw;7;0.0
miss;21;0.0001
bad;42;0.0002
wolf;42;0.0002
piggy;7;0.0
buffalo;7;0.0
destroy;7;0.0
baker;7;0.0
Donna;14;0.0001
Darren;21;0.0001
guy;7;0.0
Konka;7;0.0
grass;21;0.0001
strip;7;0.0
ummm;7;0.0
lock;14;0.0001
bedtime;7;0.0
others;14;0.0001
oh_no;84;0.0004
poorly;63;0.0003
s;35;0.0002
k;21;0.0001
runnin;14;0.0001
donkey;21;0.0001
wrong;7;0.0
sing;42;0.0002
jack;28;0.0001
Jill;14;0.0001
hill;14;0.0001
boom;7;0.0
bog;7;0.0
charger;7;0.0
tall;14;0.0001
fast;28;0.0001
own;14;0.0001
crash;49;0.0002
land;63;0.0003
Englandton;7;0.0
plant;14;0.0001
by;28;0.0001
j;7;0.0
w;21;0.0001
plank;21;0.0001
roof;7;0.0
farther;7;0.0
rabbi;7;0.0
force;7;0.0
ours;14;0.0001
old;14;0.0001
actually;42;0.0002
erm;665;0.0032
nut;147;0.0007
squirrel;231;0.0011
both;35;0.0002
lemon;56;0.0003
heat;14;0.0001
yuck;14;0.0001
yucky;14;0.0001
teapot;182;0.0009
everything;7;0.0
ambulance;77;0.0004
magnify;35;0.0002
bacon;14;0.0001
sausage;91;0.0004
onion;7;0.0
banana;42;0.0002
butter;14;0.0001
neigh;28;0.0001
field;28;0.0001
lick;56;0.0003
aeroplane;70;0.0003
dadada;7;0.0
each;7;0.0
sandwich;14;0.0001
teahouse;7;0.0
er;189;0.0009
reckon;7;0.0
burger;21;0.0001
vinegar;7;0.0
mustard;7;0.0
super;7;0.0
baboon;21;0.0001
croissant;14;0.0001
pastry;14;0.0001
broccoli;28;0.0001
meow;35;0.0002
shut;21;0.0001
sick;28;0.0001
along;7;0.0
treehouse;42;0.0002
chin;7;0.0
special;14;0.0001
tent;35;0.0002
Batman;7;0.0
Spiderman;7;0.0
snooker;14;0.0001
football;14;0.0001
pitch;7;0.0
line;28;0.0001
hers;7;0.0
share;56;0.0003
lunch;21;0.0001
dish;7;0.0
garden;21;0.0001
through;105;0.0005
onto;7;0.0
piggie;35;0.0002
wild;7;0.0
trot;98;0.0005
trotter;21;0.0001
Cornwall;7;0.0
jet;7;0.0
zoom;7;0.0
pizza;49;0.0002
cockle;7;0.0
France;7;0.0
even;21;0.0001
d_v_d;7;0.0
wheel;7;0.0
tight;7;0.0
wobble;42;0.0002
boing;42;0.0002
catty;7;0.0
indoors;14;0.0001
store;7;0.0
moment;28;0.0001
twinkle;14;0.0001
mirror;49;0.0002
fishies;14;0.0001
awake;7;0.0
carrot;21;0.0001
rock;35;0.0002
babe;7;0.0
goat;126;0.0006
someday;7;0.0
anyone;7;0.0
dopey;7;0.0
beaker;7;0.0
mu;7;0.0
emergency;7;0.0
yay;7;0.0
Sunday;21;0.0001
suppose;7;0.0
oops;14;0.0001
oopsie;7;0.0
fox;7;0.0
wing;7;0.0
faucet;7;0.0
gate;35;0.0002
drip;14;0.0001
whose;7;0.0
garage;7;0.0
basement;7;0.0
ra;7;0.0
desk;7;0.0
should;14;0.0001
anymore;21;0.0001
Annie;7;0.0
bib;21;0.0001
p;7;0.0
matter;7;0.0
plat;21;0.0001
use;7;0.0
pudding;21;0.0001
medicine;7;0.0
olive;7;0.0
television;14;0.0001
thank;21;0.0001
shadow;7;0.0
bug;21;0.0001
doggy;84;0.0004
scare;7;0.0
playgroup;35;0.0002
nee_naw;154;0.0007
scrape;7;0.0
longer;21;0.0001
wine;35;0.0002
doughnut;28;0.0001
bridge;7;0.0
dizzy;7;0.0
plain;7;0.0
oy;7;0.0
candle;7;0.0
badger;28;0.0001
telly;14;0.0001
plaster;28;0.0001
nobody;14;0.0001
anywhere;7;0.0
Alfie;7;0.0
quickly;7;0.0
Nellie;77;0.0004
flavor;7;0.0
tower;49;0.0002
tummy;21;0.0001
ev;7;0.0
Nellies;14;0.0001
fry;7;0.0
hungry;35;0.0002
lap;14;0.0001
tyre;7;0.0
Emily;7;0.0
uncle;7;0.0
vest;7;0.0
yum;189;0.0009
tabby;21;0.0001
sky;21;0.0001
Birt;35;0.0002
henny;7;0.0
Penny;7;0.0
turkey;7;0.0
Lurkey;7;0.0
ani;7;0.0
clip;14;0.0001
clop;14;0.0001
Tammy;7;0.0
dum;21;0.0001
stupid;7;0.0
idea;21;0.0001
Vimto;7;0.0
warm;7;0.0
tip;56;0.0003
quick;7;0.0
bah;14;0.0001
ca;7;0.0
ar;7;0.0
tadah;14;0.0001
cereal;14;0.0001
win;7;0.0
belly;7;0.0
snap;21;0.0001
oh_dear;35;0.0002
La;28;0.0001
yell;7;0.0
Shreddies;7;0.0
hotdog;7;0.0
somewhere;7;0.0
delicious;7;0.0
squeeze;7;0.0
bunny;35;0.0002
chase;28;0.0001
clippety_clop;7;0.0
rid;7;0.0
riv;7;0.0
river;7;0.0
rumble;7;0.0
instead;7;0.0
Gherkins;7;0.0
Gherkin;42;0.0002
bum;7;0.0
saucer;21;0.0001
panda;7;0.0
many;7;0.0
crumple;14;0.0001
num;7;0.0
visit;7;0.0
snuggly;7;0.0
elbow;7;0.0
ceiling;14;0.0001
hose;7;0.0
playground;14;0.0001
here_you_go;7;0.0
mud;14;0.0001
