word;quantity;frequency
cake;140;0.0017
birdie;56;0.0007
pencil;6;0.0001
boat;182;0.0022
bus;104;0.0013
chair;72;0.0009
table;70;0.0009
train;460;0.0057
lady;164;0.002
kiss;34;0.0004
down;530;0.0065
ring;30;0.0004
bucket;14;0.0002
all_gone;152;0.0019
teddy;278;0.0034
tea;126;0.0016
tongue;4;0.0
spoon;36;0.0004
apple;166;0.002
orange;204;0.0025
light;30;0.0004
go;1260;0.0155
chocolate;44;0.0005
Marmite;10;0.0001
milk;84;0.001
biscuit;132;0.0016
bib;20;0.0002
medicine;2;0.0
up;354;0.0044
mug;4;0.0
bottle;22;0.0003
mouse;40;0.0005
time;10;0.0001
cotton;2;0.0
lap;2;0.0
shop;88;0.0011
story;4;0.0
cardigan;8;0.0001
toothbrush;4;0.0
parcel;10;0.0001
lunch;12;0.0001
shoe;210;0.0026
balloon;16;0.0002
duck;132;0.0016
please;144;0.0018
mummie;130;0.0016
Daddy;814;0.01
toast;42;0.0005
crispies;12;0.0001
lounge;2;0.0
sweetie;52;0.0006
no;2944;0.0363
banana;44;0.0005
crocodile;8;0.0001
supper;6;0.0001
ready;16;0.0002
pepper;4;0.0
water;134;0.0017
tree;102;0.0013
pen;64;0.0008
beer;18;0.0002
Mummy;1294;0.016
be;2606;0.0321
in;1088;0.0134
the;2228;0.0275
Mini;2;0.0
pocket;18;0.0002
byebye;108;0.0013
Sally;4;0.0
yellow;180;0.0022
one;1614;0.0199
boy;100;0.0012
way;136;0.0017
toe;40;0.0005
book;184;0.0023
away;204;0.0025
kakaka;2;0.0
nice;92;0.0011
other;66;0.0008
bike;44;0.0005
glass;16;0.0002
meow;8;0.0001
Jenny;36;0.0004
another;284;0.0035
baby;654;0.0081
buy;12;0.0001
grape;54;0.0007
piece;18;0.0002
more;660;0.0081
bread;22;0.0003
work;54;0.0007
kind;2;0.0
lion;128;0.0016
ups_a_daisy;6;0.0001
there;3552;0.0438
wipe;10;0.0001
yes;420;0.0052
dear;638;0.0079
reindeer;4;0.0
hat;278;0.0034
on;1048;0.0129
Lucky;2;0.0
behind;4;0.0
Suki;8;0.0001
where;944;0.0116
pottie;20;0.0002
bear;64;0.0008
onion;10;0.0001
kitchen;6;0.0001
back;176;0.0022
top;44;0.0005
can;10;0.0001
paper;72;0.0009
hello;242;0.003
like;132;0.0016
curler;6;0.0001
quack;28;0.0003
bacon;10;0.0001
Kipper;6;0.0001
come;168;0.0021
fish;316;0.0039
I;554;0.0068
some;132;0.0016
doggy;38;0.0005
bone;14;0.0002
prune;6;0.0001
we;20;0.0002
love;10;0.0001
God;2;0.0
bless;2;0.0
swim;40;0.0005
dummy;8;0.0001
a;2258;0.0278
good;30;0.0004
girl;18;0.0002
night_night;36;0.0004
